2026-07-14 12:43:57 | INFO | Run directory: outputs/cub_200_2011/cvpt_expert_adapter/seed_0
2026-07-14 12:43:57 | INFO | Method=cvpt_expert_adapter dataset=cub_200_2011 seed=0 device=cuda
2026-07-14 12:43:57 | INFO | Dataset sizes: train=5394 val=600 test=5794
2026-07-14 12:43:57 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 12:43:59 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 12:43:59 | INFO | Trainable params: 7.5327M (8.7589% of ViT-B/16 86M)
2026-07-14 12:43:59 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 12:44:18 | INFO | Epoch 001/100 | train 1.54% loss 5.2202 | val 4.83% loss 5.0395 | entropy 0.387 | 16.9s
2026-07-14 12:44:36 | INFO | Epoch 002/100 | train 11.31% loss 4.7402 | val 22.83% loss 4.2685 | entropy 0.323 | 16.1s
2026-07-14 12:44:54 | INFO | Epoch 003/100 | train 28.46% loss 3.7963 | val 41.50% loss 3.1722 | entropy 0.279 | 16.2s
2026-07-14 12:45:12 | INFO | Epoch 004/100 | train 43.47% loss 2.8702 | val 57.67% loss 2.2902 | entropy 0.277 | 16.1s
2026-07-14 12:45:30 | INFO | Epoch 005/100 | train 57.16% loss 2.1625 | val 65.50% loss 1.6737 | entropy 0.258 | 16.2s
2026-07-14 12:45:48 | INFO | Epoch 006/100 | train 65.52% loss 1.6480 | val 74.00% loss 1.2721 | entropy 0.244 | 16.2s
2026-07-14 12:46:06 | INFO | Epoch 007/100 | train 70.58% loss 1.3485 | val 77.17% loss 1.0255 | entropy 0.240 | 16.2s
2026-07-14 12:46:24 | INFO | Epoch 008/100 | train 74.34% loss 1.1147 | val 78.67% loss 0.8657 | entropy 0.238 | 16.0s
2026-07-14 12:46:42 | INFO | Epoch 009/100 | train 77.64% loss 0.9722 | val 78.83% loss 0.8153 | entropy 0.244 | 15.8s
2026-07-14 12:47:00 | INFO | Epoch 010/100 | train 79.14% loss 0.8741 | val 77.50% loss 0.7834 | entropy 0.225 | 15.9s
2026-07-14 12:47:17 | INFO | Epoch 011/100 | train 81.83% loss 0.7744 | val 80.67% loss 0.7047 | entropy 0.240 | 16.2s
2026-07-14 12:47:35 | INFO | Epoch 012/100 | train 83.98% loss 0.6944 | val 79.50% loss 0.6957 | entropy 0.241 | 15.8s
2026-07-14 12:47:53 | INFO | Epoch 013/100 | train 84.71% loss 0.6494 | val 81.67% loss 0.7054 | entropy 0.244 | 16.1s
2026-07-14 12:48:11 | INFO | Epoch 014/100 | train 85.82% loss 0.5890 | val 80.67% loss 0.6699 | entropy 0.240 | 16.0s
2026-07-14 12:48:28 | INFO | Epoch 015/100 | train 87.50% loss 0.5346 | val 80.00% loss 0.6821 | entropy 0.238 | 15.8s
2026-07-14 12:48:45 | INFO | Epoch 016/100 | train 87.67% loss 0.5403 | val 82.67% loss 0.6564 | entropy 0.236 | 15.9s
2026-07-14 12:49:03 | INFO | Epoch 017/100 | train 88.30% loss 0.4714 | val 82.83% loss 0.6610 | entropy 0.231 | 16.1s
2026-07-14 12:49:21 | INFO | Epoch 018/100 | train 89.25% loss 0.4587 | val 81.67% loss 0.6837 | entropy 0.233 | 16.1s
2026-07-14 12:49:39 | INFO | Epoch 019/100 | train 90.21% loss 0.4192 | val 81.33% loss 0.6597 | entropy 0.234 | 15.9s
2026-07-14 12:49:56 | INFO | Epoch 020/100 | train 89.75% loss 0.4320 | val 80.67% loss 0.6902 | entropy 0.240 | 16.0s
2026-07-14 12:50:13 | INFO | Epoch 021/100 | train 91.10% loss 0.3868 | val 81.83% loss 0.6604 | entropy 0.238 | 16.1s
2026-07-14 12:50:31 | INFO | Epoch 022/100 | train 91.49% loss 0.3830 | val 82.33% loss 0.6542 | entropy 0.240 | 15.9s
2026-07-14 12:50:48 | INFO | Epoch 023/100 | train 91.58% loss 0.3586 | val 80.00% loss 0.7056 | entropy 0.239 | 15.8s
2026-07-14 12:51:05 | INFO | Epoch 024/100 | train 91.82% loss 0.3530 | val 81.50% loss 0.7001 | entropy 0.245 | 16.1s
2026-07-14 12:51:23 | INFO | Epoch 025/100 | train 91.69% loss 0.3585 | val 80.67% loss 0.6653 | entropy 0.253 | 16.2s
2026-07-14 12:51:40 | INFO | Epoch 026/100 | train 91.47% loss 0.3612 | val 81.50% loss 0.6804 | entropy 0.249 | 16.2s
2026-07-14 12:51:58 | INFO | Epoch 027/100 | train 92.38% loss 0.3225 | val 82.00% loss 0.7042 | entropy 0.248 | 16.0s
2026-07-14 12:52:15 | INFO | Epoch 028/100 | train 92.42% loss 0.3237 | val 83.17% loss 0.6907 | entropy 0.245 | 16.1s
2026-07-14 12:52:33 | INFO | Epoch 029/100 | train 92.38% loss 0.3261 | val 80.33% loss 0.7400 | entropy 0.249 | 16.0s
2026-07-14 12:52:50 | INFO | Epoch 030/100 | train 92.86% loss 0.3049 | val 81.50% loss 0.7341 | entropy 0.259 | 15.9s
2026-07-14 12:53:08 | INFO | Epoch 031/100 | train 93.07% loss 0.2947 | val 80.33% loss 0.7475 | entropy 0.260 | 16.2s
2026-07-14 12:53:25 | INFO | Epoch 032/100 | train 92.60% loss 0.3176 | val 80.83% loss 0.7462 | entropy 0.259 | 15.9s
2026-07-14 12:53:42 | INFO | Epoch 033/100 | train 94.12% loss 0.2572 | val 80.00% loss 0.7212 | entropy 0.262 | 16.0s
2026-07-14 12:54:00 | INFO | Epoch 034/100 | train 92.90% loss 0.2928 | val 80.00% loss 0.7637 | entropy 0.258 | 15.9s
2026-07-14 12:54:17 | INFO | Epoch 035/100 | train 93.59% loss 0.2594 | val 80.67% loss 0.7517 | entropy 0.265 | 15.8s
