2026-07-14 08:01:01 | INFO | Run directory: outputs/cub_200_2011/full_finetune/seed_0
2026-07-14 08:01:01 | INFO | Method=full_finetune dataset=cub_200_2011 seed=0 device=cuda
2026-07-14 08:01:01 | INFO | Dataset sizes: train=5394 val=600 test=5794
2026-07-14 08:01:01 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 08:01:03 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 08:01:03 | INFO | Trainable params: 85.9525M (99.9447% of ViT-B/16 86M)
2026-07-14 08:01:03 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 08:01:15 | INFO | Epoch 001/100 | train 0.83% loss 5.3077 | val 1.33% loss 5.2467 | entropy 0.000 | 10.7s
2026-07-14 08:01:25 | INFO | Epoch 002/100 | train 2.84% loss 5.1324 | val 4.67% loss 4.9622 | entropy 0.000 | 9.2s
2026-07-14 08:01:36 | INFO | Epoch 003/100 | train 13.24% loss 4.7264 | val 24.33% loss 4.4006 | entropy 0.000 | 9.2s
2026-07-14 08:01:46 | INFO | Epoch 004/100 | train 34.39% loss 4.1190 | val 44.00% loss 3.7459 | entropy 0.000 | 9.0s
2026-07-14 08:01:56 | INFO | Epoch 005/100 | train 51.26% loss 3.5003 | val 59.17% loss 3.1415 | entropy 0.000 | 9.2s
2026-07-14 08:02:07 | INFO | Epoch 006/100 | train 61.42% loss 2.9371 | val 65.33% loss 2.6328 | entropy 0.000 | 9.3s
2026-07-14 08:02:17 | INFO | Epoch 007/100 | train 67.43% loss 2.4955 | val 69.83% loss 2.2262 | entropy 0.000 | 9.1s
2026-07-14 08:02:27 | INFO | Epoch 008/100 | train 72.30% loss 2.1039 | val 74.67% loss 1.8791 | entropy 0.000 | 9.2s
2026-07-14 08:02:37 | INFO | Epoch 009/100 | train 75.92% loss 1.7861 | val 77.50% loss 1.5804 | entropy 0.000 | 9.0s
2026-07-14 08:02:48 | INFO | Epoch 010/100 | train 78.03% loss 1.5383 | val 77.17% loss 1.3960 | entropy 0.000 | 9.2s
2026-07-14 08:02:58 | INFO | Epoch 011/100 | train 79.83% loss 1.3045 | val 78.17% loss 1.2763 | entropy 0.000 | 9.4s
2026-07-14 08:03:08 | INFO | Epoch 012/100 | train 82.44% loss 1.1494 | val 79.33% loss 1.1198 | entropy 0.000 | 9.1s
