2026-07-14 09:34:37 | INFO | Run directory: outputs/cub_200_2011/para_cvpt/seed_0
2026-07-14 09:34:37 | INFO | Method=para_cvpt dataset=cub_200_2011 seed=0 device=cuda
2026-07-14 09:34:37 | INFO | Dataset sizes: train=5394 val=600 test=5794
2026-07-14 09:34:37 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 09:34:39 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 09:34:39 | INFO | Trainable params: 0.3776M (0.4391% of ViT-B/16 86M)
2026-07-14 09:34:39 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 09:34:50 | INFO | Epoch 001/100 | train 1.46% loss 5.2058 | val 4.33% loss 5.0429 | entropy 0.997 | 9.8s
2026-07-14 09:35:01 | INFO | Epoch 002/100 | train 10.72% loss 4.7827 | val 23.00% loss 4.4525 | entropy 0.970 | 9.1s
2026-07-14 09:35:12 | INFO | Epoch 003/100 | train 29.18% loss 4.0762 | val 39.50% loss 3.5993 | entropy 0.791 | 9.0s
2026-07-14 09:35:22 | INFO | Epoch 004/100 | train 42.90% loss 3.2613 | val 52.00% loss 2.7722 | entropy 0.546 | 9.0s
2026-07-14 09:35:33 | INFO | Epoch 005/100 | train 53.97% loss 2.5508 | val 61.33% loss 2.1132 | entropy 0.305 | 9.0s
2026-07-14 09:35:44 | INFO | Epoch 006/100 | train 63.31% loss 1.9881 | val 66.33% loss 1.6556 | entropy 0.184 | 9.1s
2026-07-14 09:35:54 | INFO | Epoch 007/100 | train 68.72% loss 1.6299 | val 70.50% loss 1.3575 | entropy 0.174 | 9.1s
2026-07-14 09:36:05 | INFO | Epoch 008/100 | train 72.80% loss 1.3553 | val 74.00% loss 1.1548 | entropy 0.194 | 9.2s
2026-07-14 09:36:16 | INFO | Epoch 009/100 | train 76.16% loss 1.1683 | val 75.33% loss 1.0233 | entropy 0.211 | 9.0s
2026-07-14 09:36:27 | INFO | Epoch 010/100 | train 78.42% loss 1.0294 | val 75.50% loss 0.9481 | entropy 0.207 | 9.0s
2026-07-14 09:36:38 | INFO | Epoch 011/100 | train 81.09% loss 0.8986 | val 77.83% loss 0.8758 | entropy 0.250 | 9.4s
