2026-07-14 08:32:50 | INFO | Run directory: outputs/cub_200_2011/ssf/seed_0
2026-07-14 08:32:50 | INFO | Method=ssf dataset=cub_200_2011 seed=0 device=cuda
2026-07-14 08:32:51 | INFO | Dataset sizes: train=5394 val=600 test=5794
2026-07-14 08:32:51 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 08:32:52 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 08:32:52 | INFO | Trainable params: 0.1907M (0.2217% of ViT-B/16 86M)
2026-07-14 08:32:52 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 08:33:02 | INFO | Epoch 001/100 | train 1.61% loss 5.2106 | val 5.67% loss 5.0115 | entropy 0.000 | 8.2s
2026-07-14 08:33:11 | INFO | Epoch 002/100 | train 11.83% loss 4.7192 | val 22.33% loss 4.2875 | entropy 0.000 | 8.0s
2026-07-14 08:33:20 | INFO | Epoch 003/100 | train 28.79% loss 3.8976 | val 40.00% loss 3.3308 | entropy 0.000 | 7.7s
2026-07-14 08:33:29 | INFO | Epoch 004/100 | train 44.01% loss 3.0419 | val 53.67% loss 2.5081 | entropy 0.000 | 7.6s
2026-07-14 08:33:38 | INFO | Epoch 005/100 | train 54.58% loss 2.3755 | val 62.33% loss 1.9138 | entropy 0.000 | 7.6s
2026-07-14 08:33:47 | INFO | Epoch 006/100 | train 62.96% loss 1.8654 | val 69.00% loss 1.5062 | entropy 0.000 | 7.7s
2026-07-14 08:33:55 | INFO | Epoch 007/100 | train 68.08% loss 1.5548 | val 73.83% loss 1.2403 | entropy 0.000 | 7.8s
2026-07-14 08:34:04 | INFO | Epoch 008/100 | train 72.65% loss 1.3063 | val 76.33% loss 1.0653 | entropy 0.000 | 7.7s
2026-07-14 08:34:13 | INFO | Epoch 009/100 | train 75.64% loss 1.1467 | val 77.33% loss 0.9542 | entropy 0.000 | 7.6s
2026-07-14 08:34:22 | INFO | Epoch 010/100 | train 77.64% loss 1.0300 | val 78.00% loss 0.8847 | entropy 0.000 | 7.6s
2026-07-14 08:34:31 | INFO | Epoch 011/100 | train 80.31% loss 0.9118 | val 78.33% loss 0.8270 | entropy 0.000 | 7.8s
2026-07-14 08:34:40 | INFO | Epoch 012/100 | train 82.11% loss 0.8239 | val 79.33% loss 0.7927 | entropy 0.000 | 7.7s
2026-07-14 08:34:49 | INFO | Epoch 013/100 | train 82.70% loss 0.7824 | val 80.00% loss 0.7691 | entropy 0.000 | 7.9s
2026-07-14 08:34:58 | INFO | Epoch 014/100 | train 84.19% loss 0.7183 | val 80.33% loss 0.7546 | entropy 0.000 | 7.9s
2026-07-14 08:35:07 | INFO | Epoch 015/100 | train 85.43% loss 0.6728 | val 79.33% loss 0.7391 | entropy 0.000 | 7.9s
2026-07-14 08:35:15 | INFO | Epoch 016/100 | train 85.52% loss 0.6758 | val 81.33% loss 0.7245 | entropy 0.000 | 7.7s
2026-07-14 08:35:24 | INFO | Epoch 017/100 | train 86.61% loss 0.5980 | val 81.00% loss 0.7102 | entropy 0.000 | 7.8s
2026-07-14 08:35:33 | INFO | Epoch 018/100 | train 86.97% loss 0.5901 | val 81.00% loss 0.7112 | entropy 0.000 | 7.9s
2026-07-14 08:35:42 | INFO | Epoch 019/100 | train 87.91% loss 0.5509 | val 81.50% loss 0.6944 | entropy 0.000 | 7.9s
2026-07-14 08:35:51 | INFO | Epoch 020/100 | train 87.97% loss 0.5564 | val 81.00% loss 0.7059 | entropy 0.000 | 7.9s
2026-07-14 08:36:00 | INFO | Epoch 021/100 | train 89.25% loss 0.5152 | val 81.50% loss 0.6947 | entropy 0.000 | 7.8s
2026-07-14 08:36:09 | INFO | Epoch 022/100 | train 89.19% loss 0.5054 | val 81.83% loss 0.6779 | entropy 0.000 | 7.7s
2026-07-14 08:36:18 | INFO | Epoch 023/100 | train 89.23% loss 0.4901 | val 80.67% loss 0.7099 | entropy 0.000 | 7.9s
2026-07-14 08:36:27 | INFO | Epoch 024/100 | train 90.06% loss 0.4663 | val 80.83% loss 0.6907 | entropy 0.000 | 8.0s
2026-07-14 08:36:36 | INFO | Epoch 025/100 | train 89.82% loss 0.4705 | val 81.17% loss 0.6759 | entropy 0.000 | 7.9s
2026-07-14 08:36:45 | INFO | Epoch 026/100 | train 89.66% loss 0.4834 | val 81.33% loss 0.6870 | entropy 0.000 | 7.8s
2026-07-14 08:36:54 | INFO | Epoch 027/100 | train 91.19% loss 0.4421 | val 81.00% loss 0.6889 | entropy 0.000 | 7.8s
2026-07-14 08:37:02 | INFO | Epoch 028/100 | train 90.71% loss 0.4386 | val 81.17% loss 0.6823 | entropy 0.000 | 7.7s
2026-07-14 08:37:11 | INFO | Epoch 029/100 | train 90.36% loss 0.4453 | val 80.00% loss 0.7082 | entropy 0.000 | 7.8s
2026-07-14 08:37:20 | INFO | Epoch 030/100 | train 91.19% loss 0.4141 | val 79.83% loss 0.7076 | entropy 0.000 | 7.8s
2026-07-14 08:37:29 | INFO | Epoch 031/100 | train 91.14% loss 0.4097 | val 80.17% loss 0.6998 | entropy 0.000 | 7.6s
2026-07-14 08:37:37 | INFO | Epoch 032/100 | train 91.06% loss 0.4332 | val 80.17% loss 0.7111 | entropy 0.000 | 7.6s
2026-07-14 08:37:46 | INFO | Epoch 033/100 | train 92.01% loss 0.3700 | val 80.17% loss 0.7106 | entropy 0.000 | 7.8s
2026-07-14 08:37:55 | INFO | Epoch 034/100 | train 91.18% loss 0.4085 | val 79.33% loss 0.7202 | entropy 0.000 | 7.8s
2026-07-14 08:38:04 | INFO | Epoch 035/100 | train 91.88% loss 0.3704 | val 79.83% loss 0.7107 | entropy 0.000 | 7.8s
2026-07-14 08:38:13 | INFO | Epoch 036/100 | train 92.07% loss 0.3618 | val 80.50% loss 0.7121 | entropy 0.000 | 7.7s
2026-07-14 08:38:22 | INFO | Epoch 037/100 | train 92.05% loss 0.3634 | val 80.00% loss 0.7039 | entropy 0.000 | 7.8s
2026-07-14 08:38:30 | INFO | Epoch 038/100 | train 92.07% loss 0.3675 | val 79.67% loss 0.7175 | entropy 0.000 | 7.8s
2026-07-14 08:38:39 | INFO | Epoch 039/100 | train 92.10% loss 0.3647 | val 78.67% loss 0.7290 | entropy 0.000 | 7.7s
2026-07-14 08:38:48 | INFO | Epoch 040/100 | train 92.57% loss 0.3487 | val 79.67% loss 0.7130 | entropy 0.000 | 7.8s
2026-07-14 08:38:57 | INFO | Epoch 041/100 | train 92.84% loss 0.3328 | val 79.67% loss 0.7200 | entropy 0.000 | 7.8s
2026-07-14 08:39:06 | INFO | Epoch 042/100 | train 92.83% loss 0.3334 | val 79.67% loss 0.7316 | entropy 0.000 | 7.7s
