2026-07-14 10:02:49 | INFO | Run directory: outputs/oxford_flowers_102/adaptformer/seed_0
2026-07-14 10:02:49 | INFO | Method=adaptformer dataset=oxford_flowers_102 seed=0 device=cuda
2026-07-14 10:02:49 | INFO | Dataset sizes: train=1020 val=1020 test=6149
2026-07-14 10:02:49 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 10:02:50 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 10:02:50 | INFO | Trainable params: 1.2681M (1.4745% of ViT-B/16 86M)
2026-07-14 10:02:50 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 10:02:55 | INFO | Epoch 001/100 | train 2.16% loss 4.6723 | val 3.24% loss 4.6228 | entropy 0.000 | 2.7s
2026-07-14 10:02:59 | INFO | Epoch 002/100 | train 3.63% loss 4.5366 | val 5.69% loss 4.4582 | entropy 0.000 | 1.9s
2026-07-14 10:03:02 | INFO | Epoch 003/100 | train 8.14% loss 4.3363 | val 13.63% loss 4.2297 | entropy 0.000 | 2.0s
2026-07-14 10:03:06 | INFO | Epoch 004/100 | train 22.06% loss 4.0807 | val 28.04% loss 3.9306 | entropy 0.000 | 2.0s
2026-07-14 10:03:10 | INFO | Epoch 005/100 | train 41.37% loss 3.6960 | val 42.75% loss 3.5220 | entropy 0.000 | 2.1s
2026-07-14 10:03:13 | INFO | Epoch 006/100 | train 57.55% loss 3.2309 | val 57.25% loss 3.0245 | entropy 0.000 | 2.1s
2026-07-14 10:03:17 | INFO | Epoch 007/100 | train 68.04% loss 2.6755 | val 65.59% loss 2.4653 | entropy 0.000 | 2.1s
2026-07-14 10:03:21 | INFO | Epoch 008/100 | train 75.00% loss 2.1387 | val 72.25% loss 1.9579 | entropy 0.000 | 2.1s
2026-07-14 10:03:24 | INFO | Epoch 009/100 | train 81.47% loss 1.6183 | val 80.10% loss 1.5020 | entropy 0.000 | 2.0s
2026-07-14 10:03:28 | INFO | Epoch 010/100 | train 87.25% loss 1.1689 | val 85.69% loss 1.1158 | entropy 0.000 | 2.0s
2026-07-14 10:03:31 | INFO | Epoch 011/100 | train 91.37% loss 0.8066 | val 88.63% loss 0.8405 | entropy 0.000 | 2.1s
2026-07-14 10:03:35 | INFO | Epoch 012/100 | train 93.73% loss 0.5769 | val 90.59% loss 0.6626 | entropy 0.000 | 2.1s
2026-07-14 10:03:38 | INFO | Epoch 013/100 | train 94.41% loss 0.4429 | val 91.57% loss 0.5385 | entropy 0.000 | 2.1s
2026-07-14 10:03:42 | INFO | Epoch 014/100 | train 97.45% loss 0.2958 | val 92.25% loss 0.4775 | entropy 0.000 | 2.0s
2026-07-14 10:03:46 | INFO | Epoch 015/100 | train 97.25% loss 0.2467 | val 92.94% loss 0.4114 | entropy 0.000 | 2.1s
2026-07-14 10:03:49 | INFO | Epoch 016/100 | train 97.94% loss 0.1876 | val 93.63% loss 0.3756 | entropy 0.000 | 2.1s
2026-07-14 10:03:53 | INFO | Epoch 017/100 | train 98.04% loss 0.1777 | val 93.24% loss 0.3553 | entropy 0.000 | 2.0s
2026-07-14 10:03:56 | INFO | Epoch 018/100 | train 98.43% loss 0.1382 | val 92.16% loss 0.3534 | entropy 0.000 | 2.0s
