2026-07-14 10:27:12 | INFO | Run directory: outputs/oxford_flowers_102/cvpt/seed_0
2026-07-14 10:27:12 | INFO | Method=cvpt dataset=oxford_flowers_102 seed=0 device=cuda
2026-07-14 10:27:12 | INFO | Dataset sizes: train=1020 val=1020 test=6149
2026-07-14 10:27:12 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 10:27:13 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 10:27:13 | INFO | Trainable params: 0.1522M (0.1769% of ViT-B/16 86M)
2026-07-14 10:27:13 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 10:27:18 | INFO | Epoch 001/100 | train 1.57% loss 4.6629 | val 2.94% loss 4.6181 | entropy 0.000 | 2.8s
2026-07-14 10:27:22 | INFO | Epoch 002/100 | train 3.43% loss 4.5198 | val 6.47% loss 4.4507 | entropy 0.000 | 2.2s
2026-07-14 10:27:27 | INFO | Epoch 003/100 | train 10.00% loss 4.3228 | val 15.59% loss 4.2182 | entropy 0.000 | 2.2s
2026-07-14 10:27:31 | INFO | Epoch 004/100 | train 25.69% loss 4.0616 | val 32.94% loss 3.9174 | entropy 0.000 | 2.1s
2026-07-14 10:27:35 | INFO | Epoch 005/100 | train 45.69% loss 3.6948 | val 49.51% loss 3.5435 | entropy 0.000 | 2.1s
2026-07-14 10:27:39 | INFO | Epoch 006/100 | train 64.41% loss 3.2665 | val 62.45% loss 3.1003 | entropy 0.000 | 2.3s
2026-07-14 10:27:43 | INFO | Epoch 007/100 | train 72.16% loss 2.7944 | val 71.76% loss 2.6114 | entropy 0.000 | 2.1s
2026-07-14 10:27:48 | INFO | Epoch 008/100 | train 79.02% loss 2.2826 | val 76.18% loss 2.1269 | entropy 0.000 | 2.3s
2026-07-14 10:27:52 | INFO | Epoch 009/100 | train 84.41% loss 1.7704 | val 80.78% loss 1.6800 | entropy 0.000 | 2.1s
2026-07-14 10:27:56 | INFO | Epoch 010/100 | train 87.75% loss 1.3168 | val 84.80% loss 1.3005 | entropy 0.000 | 2.1s
2026-07-14 10:28:01 | INFO | Epoch 011/100 | train 91.67% loss 0.9477 | val 87.94% loss 1.0250 | entropy 0.000 | 2.3s
2026-07-14 10:28:05 | INFO | Epoch 012/100 | train 93.63% loss 0.7036 | val 89.41% loss 0.8394 | entropy 0.000 | 2.2s
2026-07-14 10:28:09 | INFO | Epoch 013/100 | train 94.61% loss 0.5704 | val 89.31% loss 0.7185 | entropy 0.000 | 2.2s
2026-07-14 10:28:13 | INFO | Epoch 014/100 | train 96.57% loss 0.4100 | val 90.49% loss 0.6312 | entropy 0.000 | 2.1s
2026-07-14 10:28:17 | INFO | Epoch 015/100 | train 96.27% loss 0.3613 | val 91.37% loss 0.5691 | entropy 0.000 | 2.1s
2026-07-14 10:28:21 | INFO | Epoch 016/100 | train 97.45% loss 0.2940 | val 91.57% loss 0.5269 | entropy 0.000 | 2.1s
2026-07-14 10:28:25 | INFO | Epoch 017/100 | train 97.25% loss 0.2803 | val 91.96% loss 0.4958 | entropy 0.000 | 2.2s
2026-07-14 10:28:30 | INFO | Epoch 018/100 | train 97.55% loss 0.2344 | val 92.45% loss 0.4707 | entropy 0.000 | 2.2s
2026-07-14 10:28:34 | INFO | Epoch 019/100 | train 96.96% loss 0.2273 | val 92.16% loss 0.4523 | entropy 0.000 | 2.1s
2026-07-14 10:28:37 | INFO | Epoch 020/100 | train 98.24% loss 0.1861 | val 92.35% loss 0.4386 | entropy 0.000 | 2.1s
2026-07-14 10:28:41 | INFO | Epoch 021/100 | train 98.53% loss 0.1862 | val 92.25% loss 0.4219 | entropy 0.000 | 2.2s
2026-07-14 10:28:45 | INFO | Epoch 022/100 | train 99.22% loss 0.1538 | val 92.25% loss 0.4059 | entropy 0.000 | 2.2s
2026-07-14 10:28:48 | INFO | Epoch 023/100 | train 98.92% loss 0.1520 | val 92.55% loss 0.3964 | entropy 0.000 | 2.1s
2026-07-14 10:28:52 | INFO | Epoch 024/100 | train 98.04% loss 0.1506 | val 92.75% loss 0.3884 | entropy 0.000 | 2.0s
2026-07-14 10:28:57 | INFO | Epoch 025/100 | train 97.75% loss 0.1713 | val 92.84% loss 0.3783 | entropy 0.000 | 2.1s
2026-07-14 10:29:01 | INFO | Epoch 026/100 | train 98.43% loss 0.1447 | val 93.14% loss 0.3680 | entropy 0.000 | 2.1s
2026-07-14 10:29:05 | INFO | Epoch 027/100 | train 98.33% loss 0.1495 | val 93.24% loss 0.3618 | entropy 0.000 | 2.2s
2026-07-14 10:29:09 | INFO | Epoch 028/100 | train 98.73% loss 0.1163 | val 93.33% loss 0.3558 | entropy 0.000 | 2.2s
2026-07-14 10:29:13 | INFO | Epoch 029/100 | train 98.04% loss 0.1426 | val 93.24% loss 0.3513 | entropy 0.000 | 2.2s
2026-07-14 10:29:17 | INFO | Epoch 030/100 | train 98.92% loss 0.1017 | val 93.14% loss 0.3478 | entropy 0.000 | 2.1s
2026-07-14 10:29:20 | INFO | Epoch 031/100 | train 99.51% loss 0.0963 | val 93.43% loss 0.3411 | entropy 0.000 | 2.2s
2026-07-14 10:29:25 | INFO | Epoch 032/100 | train 98.53% loss 0.1165 | val 93.53% loss 0.3355 | entropy 0.000 | 2.1s
2026-07-14 10:29:29 | INFO | Epoch 033/100 | train 99.31% loss 0.1099 | val 93.73% loss 0.3306 | entropy 0.000 | 2.2s
2026-07-14 10:29:33 | INFO | Epoch 034/100 | train 98.63% loss 0.1018 | val 93.73% loss 0.3284 | entropy 0.000 | 2.2s
2026-07-14 10:29:37 | INFO | Epoch 035/100 | train 99.31% loss 0.0890 | val 93.63% loss 0.3267 | entropy 0.000 | 2.0s
2026-07-14 10:29:40 | INFO | Epoch 036/100 | train 98.82% loss 0.0938 | val 93.24% loss 0.3235 | entropy 0.000 | 2.1s
2026-07-14 10:29:44 | INFO | Epoch 037/100 | train 99.02% loss 0.0801 | val 92.94% loss 0.3200 | entropy 0.000 | 2.2s
2026-07-14 10:29:47 | INFO | Epoch 038/100 | train 98.82% loss 0.0928 | val 93.43% loss 0.3168 | entropy 0.000 | 2.1s
2026-07-14 10:29:51 | INFO | Epoch 039/100 | train 98.63% loss 0.0944 | val 93.24% loss 0.3126 | entropy 0.000 | 2.2s
2026-07-14 10:29:55 | INFO | Epoch 040/100 | train 98.82% loss 0.0942 | val 93.53% loss 0.3116 | entropy 0.000 | 2.0s
2026-07-14 10:29:58 | INFO | Epoch 041/100 | train 98.63% loss 0.0994 | val 93.63% loss 0.3092 | entropy 0.000 | 2.1s
2026-07-14 10:30:02 | INFO | Epoch 042/100 | train 98.82% loss 0.0895 | val 93.63% loss 0.3065 | entropy 0.000 | 2.0s
2026-07-14 10:30:05 | INFO | Epoch 043/100 | train 98.73% loss 0.0802 | val 93.63% loss 0.3042 | entropy 0.000 | 2.1s
2026-07-14 10:30:09 | INFO | Epoch 044/100 | train 98.53% loss 0.0996 | val 93.43% loss 0.3044 | entropy 0.000 | 2.2s
2026-07-14 10:30:13 | INFO | Epoch 045/100 | train 98.92% loss 0.0899 | val 93.33% loss 0.3010 | entropy 0.000 | 2.2s
2026-07-14 10:30:17 | INFO | Epoch 046/100 | train 99.12% loss 0.0777 | val 93.82% loss 0.2980 | entropy 0.000 | 2.1s
2026-07-14 10:30:21 | INFO | Epoch 047/100 | train 98.92% loss 0.0758 | val 94.02% loss 0.2966 | entropy 0.000 | 2.2s
