2026-07-14 13:46:42 | INFO | Run directory: outputs/oxford_flowers_102/expert_adapter_pool/seed_0
2026-07-14 13:46:42 | INFO | Method=expert_adapter_pool dataset=oxford_flowers_102 seed=0 device=cuda
2026-07-14 13:46:42 | INFO | Dataset sizes: train=1020 val=1020 test=6149
2026-07-14 13:46:42 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 13:46:43 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 13:46:43 | INFO | Trainable params: 7.3652M (8.5642% of ViT-B/16 86M)
2026-07-14 13:46:43 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 13:46:50 | INFO | Epoch 001/100 | train 2.16% loss 4.6685 | val 3.24% loss 4.6228 | entropy 0.387 | 4.2s
2026-07-14 13:46:55 | INFO | Epoch 002/100 | train 3.63% loss 4.5328 | val 5.69% loss 4.4583 | entropy 0.387 | 3.2s
2026-07-14 13:47:01 | INFO | Epoch 003/100 | train 8.14% loss 4.3327 | val 13.53% loss 4.2303 | entropy 0.386 | 3.3s
2026-07-14 13:47:07 | INFO | Epoch 004/100 | train 21.96% loss 4.0784 | val 28.04% loss 3.9330 | entropy 0.382 | 3.2s
2026-07-14 13:47:12 | INFO | Epoch 005/100 | train 41.67% loss 3.6933 | val 42.84% loss 3.5107 | entropy 0.367 | 3.3s
2026-07-14 13:47:18 | INFO | Epoch 006/100 | train 58.14% loss 3.2037 | val 58.43% loss 2.9834 | entropy 0.356 | 3.2s
2026-07-14 13:47:23 | INFO | Epoch 007/100 | train 68.63% loss 2.6068 | val 66.18% loss 2.3653 | entropy 0.351 | 3.2s
2026-07-14 13:47:29 | INFO | Epoch 008/100 | train 75.29% loss 2.0295 | val 71.67% loss 1.8604 | entropy 0.346 | 3.3s
2026-07-14 13:47:34 | INFO | Epoch 009/100 | train 81.57% loss 1.5108 | val 80.59% loss 1.4072 | entropy 0.340 | 3.2s
2026-07-14 13:47:40 | INFO | Epoch 010/100 | train 87.35% loss 1.0744 | val 85.98% loss 1.0354 | entropy 0.334 | 3.2s
2026-07-14 13:47:45 | INFO | Epoch 011/100 | train 92.06% loss 0.7340 | val 88.43% loss 0.7896 | entropy 0.323 | 3.4s
2026-07-14 13:47:51 | INFO | Epoch 012/100 | train 94.02% loss 0.5306 | val 89.31% loss 0.6481 | entropy 0.308 | 3.3s
2026-07-14 13:47:57 | INFO | Epoch 013/100 | train 94.02% loss 0.4121 | val 90.59% loss 0.5172 | entropy 0.306 | 3.3s
2026-07-14 13:48:02 | INFO | Epoch 014/100 | train 97.75% loss 0.2715 | val 92.45% loss 0.4627 | entropy 0.299 | 3.2s
2026-07-14 13:48:08 | INFO | Epoch 015/100 | train 97.25% loss 0.2346 | val 92.25% loss 0.3942 | entropy 0.307 | 3.4s
2026-07-14 13:48:13 | INFO | Epoch 016/100 | train 98.63% loss 0.1733 | val 92.55% loss 0.3678 | entropy 0.307 | 3.3s
2026-07-14 13:48:19 | INFO | Epoch 017/100 | train 97.94% loss 0.1622 | val 92.94% loss 0.3468 | entropy 0.302 | 3.3s
2026-07-14 13:48:25 | INFO | Epoch 018/100 | train 98.33% loss 0.1272 | val 92.55% loss 0.3465 | entropy 0.304 | 3.2s
2026-07-14 13:48:30 | INFO | Epoch 019/100 | train 97.94% loss 0.1282 | val 92.06% loss 0.3425 | entropy 0.309 | 3.4s
