2026-07-14 09:51:53 | INFO | Run directory: outputs/oxford_flowers_102/linear_probe/seed_0
2026-07-14 09:51:53 | INFO | Method=linear_probe dataset=oxford_flowers_102 seed=0 device=cuda
2026-07-14 09:51:53 | INFO | Dataset sizes: train=1020 val=1020 test=6149
2026-07-14 09:51:53 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 09:51:54 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 09:51:54 | INFO | Trainable params: 0.0784M (0.0912% of ViT-B/16 86M)
2026-07-14 09:51:54 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 09:51:59 | INFO | Epoch 001/100 | train 2.16% loss 4.6723 | val 3.24% loss 4.6228 | entropy 0.000 | 2.1s
2026-07-14 09:52:02 | INFO | Epoch 002/100 | train 3.63% loss 4.5368 | val 5.69% loss 4.4588 | entropy 0.000 | 1.3s
2026-07-14 09:52:04 | INFO | Epoch 003/100 | train 8.14% loss 4.3379 | val 13.43% loss 4.2339 | entropy 0.000 | 1.3s
2026-07-14 09:52:07 | INFO | Epoch 004/100 | train 21.37% loss 4.0936 | val 27.55% loss 3.9614 | entropy 0.000 | 1.2s
2026-07-14 09:52:10 | INFO | Epoch 005/100 | train 39.41% loss 3.7739 | val 39.90% loss 3.6496 | entropy 0.000 | 1.3s
2026-07-14 09:52:13 | INFO | Epoch 006/100 | train 55.98% loss 3.4250 | val 54.61% loss 3.3061 | entropy 0.000 | 1.2s
2026-07-14 09:52:15 | INFO | Epoch 007/100 | train 65.69% loss 3.0564 | val 61.96% loss 2.9432 | entropy 0.000 | 1.2s
2026-07-14 09:52:18 | INFO | Epoch 008/100 | train 73.04% loss 2.6786 | val 69.22% loss 2.5871 | entropy 0.000 | 1.2s
2026-07-14 09:52:21 | INFO | Epoch 009/100 | train 77.45% loss 2.3037 | val 72.55% loss 2.2541 | entropy 0.000 | 1.3s
2026-07-14 09:52:23 | INFO | Epoch 010/100 | train 80.88% loss 1.9459 | val 75.98% loss 1.9491 | entropy 0.000 | 1.2s
2026-07-14 09:52:26 | INFO | Epoch 011/100 | train 85.69% loss 1.6143 | val 77.55% loss 1.7057 | entropy 0.000 | 1.2s
2026-07-14 09:52:29 | INFO | Epoch 012/100 | train 87.06% loss 1.3951 | val 79.51% loss 1.5177 | entropy 0.000 | 1.1s
2026-07-14 09:52:31 | INFO | Epoch 013/100 | train 90.20% loss 1.2229 | val 80.78% loss 1.3665 | entropy 0.000 | 1.2s
2026-07-14 09:52:34 | INFO | Epoch 014/100 | train 91.27% loss 1.0139 | val 82.55% loss 1.2393 | entropy 0.000 | 1.2s
2026-07-14 09:52:36 | INFO | Epoch 015/100 | train 91.37% loss 0.9047 | val 82.65% loss 1.1409 | entropy 0.000 | 1.3s
2026-07-14 09:52:39 | INFO | Epoch 016/100 | train 91.57% loss 0.8019 | val 83.04% loss 1.0579 | entropy 0.000 | 1.2s
2026-07-14 09:52:42 | INFO | Epoch 017/100 | train 92.94% loss 0.7335 | val 83.24% loss 0.9951 | entropy 0.000 | 1.2s
2026-07-14 09:52:44 | INFO | Epoch 018/100 | train 92.75% loss 0.6551 | val 84.31% loss 0.9424 | entropy 0.000 | 1.2s
2026-07-14 09:52:47 | INFO | Epoch 019/100 | train 94.02% loss 0.5926 | val 84.80% loss 0.8994 | entropy 0.000 | 1.3s
2026-07-14 09:52:50 | INFO | Epoch 020/100 | train 94.71% loss 0.5451 | val 85.00% loss 0.8623 | entropy 0.000 | 1.2s
2026-07-14 09:52:52 | INFO | Epoch 021/100 | train 95.29% loss 0.5019 | val 85.00% loss 0.8288 | entropy 0.000 | 1.1s
2026-07-14 09:52:55 | INFO | Epoch 022/100 | train 95.78% loss 0.4802 | val 85.39% loss 0.7991 | entropy 0.000 | 1.2s
2026-07-14 09:52:58 | INFO | Epoch 023/100 | train 96.18% loss 0.4476 | val 85.10% loss 0.7802 | entropy 0.000 | 1.2s
2026-07-14 09:53:00 | INFO | Epoch 024/100 | train 96.18% loss 0.4373 | val 85.49% loss 0.7579 | entropy 0.000 | 1.1s
2026-07-14 09:53:03 | INFO | Epoch 025/100 | train 95.00% loss 0.4292 | val 86.08% loss 0.7350 | entropy 0.000 | 1.3s
2026-07-14 09:53:05 | INFO | Epoch 026/100 | train 95.00% loss 0.3991 | val 86.76% loss 0.7150 | entropy 0.000 | 1.2s
2026-07-14 09:53:08 | INFO | Epoch 027/100 | train 96.18% loss 0.3907 | val 87.06% loss 0.6987 | entropy 0.000 | 1.2s
2026-07-14 09:53:11 | INFO | Epoch 028/100 | train 96.27% loss 0.3458 | val 86.86% loss 0.6856 | entropy 0.000 | 1.3s
2026-07-14 09:53:13 | INFO | Epoch 029/100 | train 95.49% loss 0.3677 | val 87.35% loss 0.6735 | entropy 0.000 | 1.2s
2026-07-14 09:53:16 | INFO | Epoch 030/100 | train 97.06% loss 0.3176 | val 87.25% loss 0.6625 | entropy 0.000 | 1.2s
2026-07-14 09:53:18 | INFO | Epoch 031/100 | train 96.86% loss 0.3125 | val 87.45% loss 0.6514 | entropy 0.000 | 1.2s
2026-07-14 09:53:21 | INFO | Epoch 032/100 | train 96.08% loss 0.3186 | val 87.75% loss 0.6405 | entropy 0.000 | 1.2s
2026-07-14 09:53:24 | INFO | Epoch 033/100 | train 96.57% loss 0.3199 | val 87.84% loss 0.6268 | entropy 0.000 | 1.2s
2026-07-14 09:53:26 | INFO | Epoch 034/100 | train 97.65% loss 0.2835 | val 88.33% loss 0.6199 | entropy 0.000 | 1.3s
2026-07-14 09:53:29 | INFO | Epoch 035/100 | train 97.35% loss 0.2658 | val 88.04% loss 0.6132 | entropy 0.000 | 1.3s
2026-07-14 09:53:31 | INFO | Epoch 036/100 | train 97.75% loss 0.2652 | val 88.43% loss 0.6031 | entropy 0.000 | 1.2s
2026-07-14 09:53:34 | INFO | Epoch 037/100 | train 97.55% loss 0.2461 | val 88.53% loss 0.5943 | entropy 0.000 | 1.2s
2026-07-14 09:53:37 | INFO | Epoch 038/100 | train 98.14% loss 0.2479 | val 87.84% loss 0.5864 | entropy 0.000 | 1.1s
2026-07-14 09:53:39 | INFO | Epoch 039/100 | train 97.45% loss 0.2499 | val 88.82% loss 0.5800 | entropy 0.000 | 1.2s
2026-07-14 09:53:42 | INFO | Epoch 040/100 | train 97.06% loss 0.2621 | val 88.53% loss 0.5773 | entropy 0.000 | 1.2s
2026-07-14 09:53:44 | INFO | Epoch 041/100 | train 97.25% loss 0.2518 | val 88.24% loss 0.5745 | entropy 0.000 | 1.2s
2026-07-14 09:53:47 | INFO | Epoch 042/100 | train 97.06% loss 0.2501 | val 88.63% loss 0.5696 | entropy 0.000 | 1.2s
2026-07-14 09:53:49 | INFO | Epoch 043/100 | train 98.24% loss 0.2140 | val 88.73% loss 0.5658 | entropy 0.000 | 1.3s
2026-07-14 09:53:52 | INFO | Epoch 044/100 | train 97.35% loss 0.2404 | val 88.82% loss 0.5599 | entropy 0.000 | 1.2s
2026-07-14 09:53:54 | INFO | Epoch 045/100 | train 96.67% loss 0.2381 | val 88.63% loss 0.5553 | entropy 0.000 | 1.3s
2026-07-14 09:53:57 | INFO | Epoch 046/100 | train 97.84% loss 0.2114 | val 88.63% loss 0.5514 | entropy 0.000 | 1.2s
2026-07-14 09:54:00 | INFO | Epoch 047/100 | train 97.55% loss 0.2053 | val 88.82% loss 0.5469 | entropy 0.000 | 1.2s
2026-07-14 09:54:02 | INFO | Epoch 048/100 | train 97.75% loss 0.2034 | val 88.82% loss 0.5430 | entropy 0.000 | 1.2s
2026-07-14 09:54:05 | INFO | Epoch 049/100 | train 97.94% loss 0.2165 | val 88.43% loss 0.5407 | entropy 0.000 | 1.3s
2026-07-14 09:54:08 | INFO | Epoch 050/100 | train 97.75% loss 0.2013 | val 88.63% loss 0.5386 | entropy 0.000 | 1.2s
2026-07-14 09:54:10 | INFO | Epoch 051/100 | train 97.35% loss 0.2206 | val 88.63% loss 0.5357 | entropy 0.000 | 1.3s
2026-07-14 09:54:13 | INFO | Epoch 052/100 | train 97.75% loss 0.1896 | val 88.82% loss 0.5325 | entropy 0.000 | 1.2s
2026-07-14 09:54:15 | INFO | Epoch 053/100 | train 98.04% loss 0.1854 | val 88.73% loss 0.5289 | entropy 0.000 | 1.2s
2026-07-14 09:54:18 | INFO | Epoch 054/100 | train 97.84% loss 0.2003 | val 88.82% loss 0.5254 | entropy 0.000 | 1.2s
2026-07-14 09:54:21 | INFO | Epoch 055/100 | train 97.25% loss 0.1982 | val 88.53% loss 0.5232 | entropy 0.000 | 1.2s
2026-07-14 09:54:24 | INFO | Epoch 056/100 | train 99.12% loss 0.1552 | val 88.24% loss 0.5213 | entropy 0.000 | 1.3s
2026-07-14 09:54:26 | INFO | Epoch 057/100 | train 98.73% loss 0.1643 | val 88.14% loss 0.5194 | entropy 0.000 | 1.3s
2026-07-14 09:54:29 | INFO | Epoch 058/100 | train 97.94% loss 0.1935 | val 88.33% loss 0.5150 | entropy 0.000 | 1.2s
2026-07-14 09:54:32 | INFO | Epoch 059/100 | train 98.04% loss 0.1716 | val 88.92% loss 0.5128 | entropy 0.000 | 1.3s
2026-07-14 09:54:34 | INFO | Epoch 060/100 | train 97.84% loss 0.1856 | val 88.82% loss 0.5122 | entropy 0.000 | 1.2s
2026-07-14 09:54:37 | INFO | Epoch 061/100 | train 97.94% loss 0.1811 | val 88.82% loss 0.5124 | entropy 0.000 | 1.3s
2026-07-14 09:54:40 | INFO | Epoch 062/100 | train 97.75% loss 0.1808 | val 89.02% loss 0.5117 | entropy 0.000 | 1.2s
2026-07-14 09:54:42 | INFO | Epoch 063/100 | train 98.04% loss 0.1703 | val 88.82% loss 0.5099 | entropy 0.000 | 1.1s
2026-07-14 09:54:45 | INFO | Epoch 064/100 | train 97.75% loss 0.1850 | val 88.82% loss 0.5078 | entropy 0.000 | 1.2s
2026-07-14 09:54:47 | INFO | Epoch 065/100 | train 97.55% loss 0.1837 | val 89.02% loss 0.5053 | entropy 0.000 | 1.2s
2026-07-14 09:54:50 | INFO | Epoch 066/100 | train 98.33% loss 0.1679 | val 88.92% loss 0.5034 | entropy 0.000 | 1.2s
2026-07-14 09:54:53 | INFO | Epoch 067/100 | train 97.84% loss 0.1795 | val 89.12% loss 0.5018 | entropy 0.000 | 1.2s
2026-07-14 09:54:55 | INFO | Epoch 068/100 | train 97.65% loss 0.1762 | val 89.22% loss 0.5010 | entropy 0.000 | 1.2s
2026-07-14 09:54:58 | INFO | Epoch 069/100 | train 98.24% loss 0.1742 | val 89.12% loss 0.5005 | entropy 0.000 | 1.3s
2026-07-14 09:55:01 | INFO | Epoch 070/100 | train 97.55% loss 0.1763 | val 89.12% loss 0.5000 | entropy 0.000 | 1.3s
2026-07-14 09:55:03 | INFO | Epoch 071/100 | train 98.73% loss 0.1457 | val 89.22% loss 0.4986 | entropy 0.000 | 1.3s
2026-07-14 09:55:06 | INFO | Epoch 072/100 | train 97.65% loss 0.1698 | val 89.41% loss 0.4975 | entropy 0.000 | 1.2s
2026-07-14 09:55:09 | INFO | Epoch 073/100 | train 98.92% loss 0.1439 | val 89.41% loss 0.4969 | entropy 0.000 | 1.2s
2026-07-14 09:55:11 | INFO | Epoch 074/100 | train 98.82% loss 0.1424 | val 89.41% loss 0.4955 | entropy 0.000 | 1.2s
2026-07-14 09:55:14 | INFO | Epoch 075/100 | train 97.84% loss 0.1725 | val 89.31% loss 0.4945 | entropy 0.000 | 1.3s
2026-07-14 09:55:17 | INFO | Epoch 076/100 | train 97.84% loss 0.1679 | val 89.41% loss 0.4938 | entropy 0.000 | 1.2s
2026-07-14 09:55:19 | INFO | Epoch 077/100 | train 97.94% loss 0.1654 | val 89.31% loss 0.4936 | entropy 0.000 | 1.2s
2026-07-14 09:55:22 | INFO | Epoch 078/100 | train 98.43% loss 0.1671 | val 89.51% loss 0.4934 | entropy 0.000 | 1.3s
2026-07-14 09:55:25 | INFO | Epoch 079/100 | train 97.84% loss 0.1721 | val 89.31% loss 0.4930 | entropy 0.000 | 1.2s
2026-07-14 09:55:27 | INFO | Epoch 080/100 | train 98.73% loss 0.1577 | val 89.31% loss 0.4924 | entropy 0.000 | 1.2s
2026-07-14 09:55:30 | INFO | Epoch 081/100 | train 98.04% loss 0.1577 | val 89.22% loss 0.4919 | entropy 0.000 | 1.2s
2026-07-14 09:55:33 | INFO | Epoch 082/100 | train 96.96% loss 0.1874 | val 89.22% loss 0.4914 | entropy 0.000 | 1.2s
2026-07-14 09:55:35 | INFO | Epoch 083/100 | train 98.43% loss 0.1565 | val 89.31% loss 0.4912 | entropy 0.000 | 1.2s
2026-07-14 09:55:38 | INFO | Epoch 084/100 | train 98.04% loss 0.1577 | val 89.31% loss 0.4908 | entropy 0.000 | 1.2s
2026-07-14 09:55:40 | INFO | Epoch 085/100 | train 98.63% loss 0.1487 | val 89.22% loss 0.4905 | entropy 0.000 | 1.3s
2026-07-14 09:55:43 | INFO | Epoch 086/100 | train 98.33% loss 0.1507 | val 89.22% loss 0.4902 | entropy 0.000 | 1.2s
2026-07-14 09:55:45 | INFO | Epoch 087/100 | train 98.63% loss 0.1491 | val 89.22% loss 0.4899 | entropy 0.000 | 1.2s
2026-07-14 09:55:48 | INFO | Epoch 088/100 | train 98.53% loss 0.1416 | val 89.22% loss 0.4896 | entropy 0.000 | 1.2s
2026-07-14 09:55:51 | INFO | Epoch 089/100 | train 98.92% loss 0.1474 | val 89.22% loss 0.4893 | entropy 0.000 | 1.2s
2026-07-14 09:55:53 | INFO | Epoch 090/100 | train 98.73% loss 0.1364 | val 89.22% loss 0.4891 | entropy 0.000 | 1.2s
2026-07-14 09:55:56 | INFO | Epoch 091/100 | train 97.35% loss 0.1727 | val 89.22% loss 0.4891 | entropy 0.000 | 1.3s
2026-07-14 09:55:58 | INFO | Epoch 092/100 | train 97.84% loss 0.1614 | val 89.22% loss 0.4890 | entropy 0.000 | 1.2s
2026-07-14 09:56:01 | INFO | Epoch 093/100 | train 98.43% loss 0.1676 | val 89.22% loss 0.4889 | entropy 0.000 | 1.2s
2026-07-14 09:56:04 | INFO | Epoch 094/100 | train 98.53% loss 0.1537 | val 89.22% loss 0.4888 | entropy 0.000 | 1.2s
2026-07-14 09:56:06 | INFO | Epoch 095/100 | train 98.24% loss 0.1563 | val 89.22% loss 0.4888 | entropy 0.000 | 1.2s
2026-07-14 09:56:09 | INFO | Epoch 096/100 | train 98.24% loss 0.1727 | val 89.22% loss 0.4889 | entropy 0.000 | 1.2s
2026-07-14 09:56:11 | INFO | Epoch 097/100 | train 98.63% loss 0.1470 | val 89.22% loss 0.4888 | entropy 0.000 | 1.2s
2026-07-14 09:56:14 | INFO | Epoch 098/100 | train 98.04% loss 0.1686 | val 89.22% loss 0.4888 | entropy 0.000 | 1.2s
2026-07-14 09:56:16 | INFO | Epoch 099/100 | train 98.53% loss 0.1437 | val 89.22% loss 0.4888 | entropy 0.000 | 1.1s
2026-07-14 09:56:19 | INFO | Epoch 100/100 | train 98.14% loss 0.1694 | val 89.22% loss 0.4888 | entropy 0.000 | 1.2s
2026-07-14 09:56:25 | INFO | Best val 89.51% at epoch 78 | test 88.52%
