2026-07-14 10:33:40 | INFO | Run directory: outputs/oxford_flowers_102/para_cvpt/seed_0
2026-07-14 10:33:40 | INFO | Method=para_cvpt dataset=oxford_flowers_102 seed=0 device=cuda
2026-07-14 10:33:40 | INFO | Dataset sizes: train=1020 val=1020 test=6149
2026-07-14 10:33:40 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 10:33:42 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 10:33:42 | INFO | Trainable params: 0.3023M (0.3515% of ViT-B/16 86M)
2026-07-14 10:33:42 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 10:33:47 | INFO | Epoch 001/100 | train 1.76% loss 4.6435 | val 3.14% loss 4.6187 | entropy 0.997 | 3.1s
2026-07-14 10:33:51 | INFO | Epoch 002/100 | train 3.53% loss 4.5012 | val 6.57% loss 4.4524 | entropy 0.997 | 2.3s
2026-07-14 10:33:56 | INFO | Epoch 003/100 | train 9.80% loss 4.3062 | val 14.90% loss 4.2233 | entropy 0.997 | 2.3s
2026-07-14 10:34:00 | INFO | Epoch 004/100 | train 25.20% loss 4.0537 | val 32.75% loss 3.9370 | entropy 0.993 | 2.2s
2026-07-14 10:34:04 | INFO | Epoch 005/100 | train 44.12% loss 3.7102 | val 48.33% loss 3.5900 | entropy 0.975 | 2.3s
2026-07-14 10:34:09 | INFO | Epoch 006/100 | train 62.25% loss 3.3114 | val 60.69% loss 3.1731 | entropy 0.911 | 2.4s
2026-07-14 10:34:13 | INFO | Epoch 007/100 | train 70.88% loss 2.8653 | val 69.41% loss 2.7091 | entropy 0.823 | 2.3s
2026-07-14 10:34:18 | INFO | Epoch 008/100 | train 78.92% loss 2.3805 | val 75.69% loss 2.2395 | entropy 0.726 | 2.3s
2026-07-14 10:34:22 | INFO | Epoch 009/100 | train 83.63% loss 1.8822 | val 79.61% loss 1.7914 | entropy 0.595 | 2.2s
2026-07-14 10:34:26 | INFO | Epoch 010/100 | train 87.06% loss 1.4266 | val 83.92% loss 1.3981 | entropy 0.475 | 2.3s
2026-07-14 10:34:31 | INFO | Epoch 011/100 | train 90.98% loss 1.0437 | val 86.57% loss 1.1036 | entropy 0.400 | 2.2s
