2026-07-14 10:08:49 | INFO | Run directory: outputs/oxford_flowers_102/ssf/seed_0
2026-07-14 10:08:49 | INFO | Method=ssf dataset=oxford_flowers_102 seed=0 device=cuda
2026-07-14 10:08:49 | INFO | Dataset sizes: train=1020 val=1020 test=6149
2026-07-14 10:08:49 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 10:08:50 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 10:08:50 | INFO | Trainable params: 0.1153M (0.1341% of ViT-B/16 86M)
2026-07-14 10:08:50 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 10:08:55 | INFO | Epoch 001/100 | train 2.06% loss 4.6715 | val 3.24% loss 4.6171 | entropy 0.000 | 2.9s
2026-07-14 10:08:59 | INFO | Epoch 002/100 | train 4.12% loss 4.5274 | val 6.08% loss 4.4428 | entropy 0.000 | 2.0s
2026-07-14 10:09:03 | INFO | Epoch 003/100 | train 9.31% loss 4.3136 | val 14.80% loss 4.1988 | entropy 0.000 | 2.1s
2026-07-14 10:09:06 | INFO | Epoch 004/100 | train 24.31% loss 4.0348 | val 30.20% loss 3.8737 | entropy 0.000 | 2.0s
2026-07-14 10:09:10 | INFO | Epoch 005/100 | train 43.92% loss 3.6285 | val 45.98% loss 3.4591 | entropy 0.000 | 2.0s
2026-07-14 10:09:13 | INFO | Epoch 006/100 | train 62.55% loss 3.1546 | val 62.45% loss 2.9734 | entropy 0.000 | 2.1s
2026-07-14 10:09:17 | INFO | Epoch 007/100 | train 72.75% loss 2.6345 | val 69.71% loss 2.4471 | entropy 0.000 | 2.0s
2026-07-14 10:09:20 | INFO | Epoch 008/100 | train 79.51% loss 2.1003 | val 74.61% loss 1.9508 | entropy 0.000 | 2.0s
2026-07-14 10:09:24 | INFO | Epoch 009/100 | train 84.51% loss 1.5778 | val 80.29% loss 1.5163 | entropy 0.000 | 2.0s
2026-07-14 10:09:28 | INFO | Epoch 010/100 | train 88.24% loss 1.1497 | val 83.73% loss 1.1646 | entropy 0.000 | 2.0s
2026-07-14 10:09:31 | INFO | Epoch 011/100 | train 92.45% loss 0.8145 | val 87.25% loss 0.9193 | entropy 0.000 | 2.0s
2026-07-14 10:09:35 | INFO | Epoch 012/100 | train 94.22% loss 0.6103 | val 88.92% loss 0.7555 | entropy 0.000 | 2.0s
2026-07-14 10:09:38 | INFO | Epoch 013/100 | train 94.61% loss 0.4943 | val 89.71% loss 0.6552 | entropy 0.000 | 2.1s
2026-07-14 10:09:42 | INFO | Epoch 014/100 | train 96.86% loss 0.3603 | val 90.49% loss 0.5769 | entropy 0.000 | 2.1s
2026-07-14 10:09:45 | INFO | Epoch 015/100 | train 96.86% loss 0.3218 | val 91.18% loss 0.5267 | entropy 0.000 | 2.1s
2026-07-14 10:09:49 | INFO | Epoch 016/100 | train 97.45% loss 0.2556 | val 91.96% loss 0.4901 | entropy 0.000 | 2.1s
2026-07-14 10:09:53 | INFO | Epoch 017/100 | train 97.25% loss 0.2474 | val 91.86% loss 0.4601 | entropy 0.000 | 2.1s
2026-07-14 10:09:56 | INFO | Epoch 018/100 | train 97.75% loss 0.2104 | val 92.45% loss 0.4366 | entropy 0.000 | 2.0s
2026-07-14 10:10:00 | INFO | Epoch 019/100 | train 97.25% loss 0.2006 | val 91.47% loss 0.4269 | entropy 0.000 | 2.1s
2026-07-14 10:10:04 | INFO | Epoch 020/100 | train 98.24% loss 0.1693 | val 91.86% loss 0.4110 | entropy 0.000 | 2.1s
2026-07-14 10:10:07 | INFO | Epoch 021/100 | train 98.14% loss 0.1643 | val 92.35% loss 0.3953 | entropy 0.000 | 2.0s
