2026-07-13 21:03:59 | INFO | Run directory: outputs/vtab1k_cifar100/cvpt/seed_0
2026-07-13 21:03:59 | INFO | Method=cvpt dataset=vtab1k_cifar100 seed=0 device=cuda
2026-07-13 21:04:02 | INFO | Dataset sizes: train=1000 val=1000 test=10000
2026-07-13 21:04:03 | INFO | Trainable params: 0.1506M (0.1751% of ViT-B/16 86M)
2026-07-13 21:04:07 | INFO | Epoch 001/100 | train 0.80% loss 4.6957 | val 0.90% loss 4.6734 | entropy 0.000 | 2.0s
2026-07-13 21:04:10 | INFO | Epoch 002/100 | train 1.80% loss 4.6064 | val 1.60% loss 4.5670 | entropy 0.000 | 2.1s
2026-07-13 21:04:15 | INFO | Epoch 003/100 | train 3.10% loss 4.4714 | val 4.80% loss 4.4133 | entropy 0.000 | 2.1s
2026-07-13 21:04:19 | INFO | Epoch 004/100 | train 9.30% loss 4.2877 | val 11.60% loss 4.2124 | entropy 0.000 | 2.1s
2026-07-13 21:04:23 | INFO | Epoch 005/100 | train 18.70% loss 4.0626 | val 20.30% loss 3.9667 | entropy 0.000 | 2.1s
2026-07-13 21:04:27 | INFO | Epoch 006/100 | train 31.30% loss 3.8037 | val 32.30% loss 3.6824 | entropy 0.000 | 2.2s
2026-07-13 21:04:31 | INFO | Epoch 007/100 | train 41.70% loss 3.4951 | val 41.60% loss 3.3641 | entropy 0.000 | 2.1s
2026-07-13 21:04:35 | INFO | Epoch 008/100 | train 51.70% loss 3.1299 | val 50.00% loss 3.0135 | entropy 0.000 | 2.1s
2026-07-13 21:04:40 | INFO | Epoch 009/100 | train 60.20% loss 2.7302 | val 55.40% loss 2.6405 | entropy 0.000 | 2.2s
2026-07-13 21:04:44 | INFO | Epoch 010/100 | train 64.80% loss 2.3367 | val 59.90% loss 2.2854 | entropy 0.000 | 2.1s
2026-07-13 21:04:48 | INFO | Epoch 011/100 | train 69.10% loss 1.9726 | val 63.10% loss 2.0000 | entropy 0.000 | 2.1s
2026-07-13 21:04:52 | INFO | Epoch 012/100 | train 72.50% loss 1.7381 | val 65.90% loss 1.7727 | entropy 0.000 | 2.1s
2026-07-13 21:04:56 | INFO | Epoch 013/100 | train 72.90% loss 1.5529 | val 67.70% loss 1.6006 | entropy 0.000 | 2.2s
2026-07-13 21:05:00 | INFO | Epoch 014/100 | train 77.30% loss 1.3154 | val 68.30% loss 1.4766 | entropy 0.000 | 2.2s
2026-07-13 21:05:04 | INFO | Epoch 015/100 | train 79.00% loss 1.2272 | val 69.50% loss 1.3789 | entropy 0.000 | 2.1s
2026-07-13 21:05:08 | INFO | Epoch 016/100 | train 77.90% loss 1.1419 | val 70.30% loss 1.3004 | entropy 0.000 | 2.1s
2026-07-13 21:05:12 | INFO | Epoch 017/100 | train 77.60% loss 1.1110 | val 70.70% loss 1.2377 | entropy 0.000 | 2.2s
2026-07-13 21:05:16 | INFO | Epoch 018/100 | train 81.00% loss 0.9903 | val 71.10% loss 1.1936 | entropy 0.000 | 2.2s
2026-07-13 21:05:20 | INFO | Epoch 019/100 | train 81.90% loss 0.9371 | val 71.50% loss 1.1569 | entropy 0.000 | 2.1s
2026-07-13 21:05:25 | INFO | Epoch 020/100 | train 81.80% loss 0.8999 | val 72.10% loss 1.1311 | entropy 0.000 | 2.1s
2026-07-13 21:05:29 | INFO | Epoch 021/100 | train 82.20% loss 0.8668 | val 71.90% loss 1.1051 | entropy 0.000 | 2.1s
2026-07-13 21:05:32 | INFO | Epoch 022/100 | train 84.70% loss 0.7923 | val 71.50% loss 1.0822 | entropy 0.000 | 2.1s
2026-07-13 21:05:35 | INFO | Epoch 023/100 | train 84.80% loss 0.7635 | val 72.30% loss 1.0634 | entropy 0.000 | 2.0s
2026-07-13 21:05:40 | INFO | Epoch 024/100 | train 84.80% loss 0.7635 | val 71.90% loss 1.0498 | entropy 0.000 | 2.2s
2026-07-13 21:05:43 | INFO | Epoch 025/100 | train 84.00% loss 0.7441 | val 72.40% loss 1.0384 | entropy 0.000 | 2.2s
2026-07-13 21:05:47 | INFO | Epoch 026/100 | train 86.00% loss 0.7285 | val 72.10% loss 1.0272 | entropy 0.000 | 2.1s
2026-07-13 21:05:51 | INFO | Epoch 027/100 | train 88.10% loss 0.6285 | val 73.30% loss 1.0157 | entropy 0.000 | 2.1s
2026-07-13 21:05:55 | INFO | Epoch 028/100 | train 87.60% loss 0.5636 | val 73.20% loss 1.0074 | entropy 0.000 | 2.1s
2026-07-13 21:05:58 | INFO | Epoch 029/100 | train 87.40% loss 0.6182 | val 72.70% loss 0.9984 | entropy 0.000 | 2.0s
2026-07-13 21:06:02 | INFO | Epoch 030/100 | train 87.90% loss 0.5901 | val 73.20% loss 0.9914 | entropy 0.000 | 2.2s
2026-07-13 21:06:05 | INFO | Epoch 031/100 | train 89.00% loss 0.5827 | val 73.20% loss 0.9853 | entropy 0.000 | 2.0s
2026-07-13 21:06:09 | INFO | Epoch 032/100 | train 88.50% loss 0.5652 | val 73.80% loss 0.9826 | entropy 0.000 | 2.1s
2026-07-13 21:06:13 | INFO | Epoch 033/100 | train 89.40% loss 0.5311 | val 73.60% loss 0.9755 | entropy 0.000 | 2.2s
2026-07-13 21:06:16 | INFO | Epoch 034/100 | train 89.10% loss 0.5346 | val 73.60% loss 0.9764 | entropy 0.000 | 2.2s
2026-07-13 21:06:20 | INFO | Epoch 035/100 | train 89.30% loss 0.5416 | val 73.80% loss 0.9779 | entropy 0.000 | 2.0s
2026-07-13 21:06:23 | INFO | Epoch 036/100 | train 88.50% loss 0.5124 | val 73.30% loss 0.9772 | entropy 0.000 | 2.1s
2026-07-13 21:06:26 | INFO | Epoch 037/100 | train 90.40% loss 0.4672 | val 73.50% loss 0.9731 | entropy 0.000 | 2.1s
2026-07-13 21:06:30 | INFO | Epoch 038/100 | train 90.50% loss 0.4581 | val 73.30% loss 0.9715 | entropy 0.000 | 2.2s
2026-07-13 21:06:34 | INFO | Epoch 039/100 | train 90.10% loss 0.4655 | val 73.70% loss 0.9650 | entropy 0.000 | 2.1s
2026-07-13 21:06:37 | INFO | Epoch 040/100 | train 87.40% loss 0.5455 | val 73.70% loss 0.9622 | entropy 0.000 | 2.1s
2026-07-13 21:06:41 | INFO | Epoch 041/100 | train 89.70% loss 0.4927 | val 73.40% loss 0.9628 | entropy 0.000 | 2.1s
2026-07-13 21:06:44 | INFO | Epoch 042/100 | train 91.30% loss 0.4115 | val 73.20% loss 0.9621 | entropy 0.000 | 2.1s
2026-07-13 21:06:48 | INFO | Epoch 043/100 | train 89.70% loss 0.4505 | val 73.10% loss 0.9634 | entropy 0.000 | 2.1s
2026-07-13 21:06:51 | INFO | Epoch 044/100 | train 91.40% loss 0.4180 | val 73.50% loss 0.9610 | entropy 0.000 | 2.1s
2026-07-13 21:06:55 | INFO | Epoch 045/100 | train 90.50% loss 0.4488 | val 73.10% loss 0.9562 | entropy 0.000 | 2.2s
2026-07-13 21:06:58 | INFO | Epoch 046/100 | train 90.30% loss 0.4521 | val 72.90% loss 0.9570 | entropy 0.000 | 2.1s
2026-07-13 21:07:02 | INFO | Epoch 047/100 | train 91.90% loss 0.4093 | val 72.50% loss 0.9575 | entropy 0.000 | 2.1s
2026-07-13 21:07:05 | INFO | Epoch 048/100 | train 89.00% loss 0.4749 | val 73.30% loss 0.9587 | entropy 0.000 | 2.2s
2026-07-13 21:07:09 | INFO | Epoch 049/100 | train 91.50% loss 0.3988 | val 73.00% loss 0.9575 | entropy 0.000 | 2.1s
2026-07-13 21:07:12 | INFO | Epoch 050/100 | train 92.00% loss 0.3984 | val 73.40% loss 0.9523 | entropy 0.000 | 2.2s
2026-07-13 21:07:16 | INFO | Epoch 051/100 | train 89.80% loss 0.4731 | val 73.60% loss 0.9496 | entropy 0.000 | 2.2s
2026-07-13 21:07:19 | INFO | Epoch 052/100 | train 91.60% loss 0.4248 | val 73.60% loss 0.9495 | entropy 0.000 | 2.1s
2026-07-13 21:07:23 | INFO | Epoch 053/100 | train 92.40% loss 0.3515 | val 73.60% loss 0.9532 | entropy 0.000 | 2.2s
2026-07-13 21:07:26 | INFO | Epoch 054/100 | train 91.60% loss 0.4147 | val 72.90% loss 0.9529 | entropy 0.000 | 2.1s
2026-07-13 21:07:30 | INFO | Epoch 055/100 | train 90.40% loss 0.4270 | val 73.60% loss 0.9508 | entropy 0.000 | 2.1s
2026-07-13 21:07:33 | INFO | Epoch 056/100 | train 92.30% loss 0.3596 | val 73.20% loss 0.9520 | entropy 0.000 | 2.1s
2026-07-13 21:07:37 | INFO | Epoch 057/100 | train 92.80% loss 0.3603 | val 73.60% loss 0.9483 | entropy 0.000 | 2.1s
2026-07-13 21:07:40 | INFO | Epoch 058/100 | train 90.60% loss 0.4267 | val 73.70% loss 0.9470 | entropy 0.000 | 2.1s
2026-07-13 21:07:44 | INFO | Epoch 059/100 | train 92.60% loss 0.3855 | val 73.20% loss 0.9461 | entropy 0.000 | 2.1s
2026-07-13 21:07:47 | INFO | Epoch 060/100 | train 92.40% loss 0.3750 | val 73.20% loss 0.9455 | entropy 0.000 | 2.0s
