2026-07-14 12:35:52 | INFO | Run directory: outputs/vtab1k_cifar100/cvpt_expert_adapter/seed_0
2026-07-14 12:35:52 | INFO | Method=cvpt_expert_adapter dataset=vtab1k_cifar100 seed=0 device=cuda
2026-07-14 12:35:54 | INFO | Dataset sizes: train=1000 val=1000 test=10000
2026-07-14 12:35:54 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 12:35:55 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 12:35:55 | INFO | Trainable params: 7.4558M (8.6695% of ViT-B/16 86M)
2026-07-14 12:35:55 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 12:36:02 | INFO | Epoch 001/100 | train 0.70% loss 4.6721 | val 1.20% loss 4.6573 | entropy 0.387 | 5.2s
2026-07-14 12:36:07 | INFO | Epoch 002/100 | train 2.90% loss 4.5723 | val 2.90% loss 4.5186 | entropy 0.387 | 3.2s
2026-07-14 12:36:13 | INFO | Epoch 003/100 | train 5.70% loss 4.3990 | val 8.00% loss 4.3160 | entropy 0.387 | 3.2s
2026-07-14 12:36:18 | INFO | Epoch 004/100 | train 16.70% loss 4.1669 | val 16.80% loss 4.0450 | entropy 0.386 | 3.2s
2026-07-14 12:36:23 | INFO | Epoch 005/100 | train 28.50% loss 3.8315 | val 28.80% loss 3.6869 | entropy 0.383 | 3.1s
2026-07-14 12:36:28 | INFO | Epoch 006/100 | train 41.20% loss 3.4268 | val 40.50% loss 3.2173 | entropy 0.378 | 3.2s
2026-07-14 12:36:33 | INFO | Epoch 007/100 | train 53.90% loss 2.8351 | val 51.10% loss 2.6206 | entropy 0.371 | 3.1s
2026-07-14 12:36:38 | INFO | Epoch 008/100 | train 59.40% loss 2.3141 | val 57.70% loss 2.0904 | entropy 0.361 | 3.1s
2026-07-14 12:36:43 | INFO | Epoch 009/100 | train 62.90% loss 1.9279 | val 64.10% loss 1.7434 | entropy 0.353 | 3.2s
2026-07-14 12:36:49 | INFO | Epoch 010/100 | train 71.20% loss 1.5402 | val 67.60% loss 1.4536 | entropy 0.350 | 3.2s
2026-07-14 12:36:54 | INFO | Epoch 011/100 | train 75.20% loss 1.2409 | val 67.40% loss 1.2675 | entropy 0.336 | 3.2s
