2026-07-14 13:13:45 | INFO | Run directory: outputs/vtab1k_cifar100/expert_adapter_pool/seed_0
2026-07-14 13:13:45 | INFO | Method=expert_adapter_pool dataset=vtab1k_cifar100 seed=0 device=cuda
2026-07-14 13:13:47 | INFO | Dataset sizes: train=1000 val=1000 test=10000
2026-07-14 13:13:47 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 13:13:48 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 13:13:48 | INFO | Trainable params: 7.3636M (8.5624% of ViT-B/16 86M)
2026-07-14 13:13:48 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 13:13:55 | INFO | Epoch 001/100 | train 1.10% loss 4.6845 | val 1.00% loss 4.6573 | entropy 0.387 | 4.7s
2026-07-14 13:13:59 | INFO | Epoch 002/100 | train 1.90% loss 4.5742 | val 2.90% loss 4.5097 | entropy 0.387 | 2.7s
2026-07-14 13:14:04 | INFO | Epoch 003/100 | train 6.10% loss 4.3874 | val 8.70% loss 4.2949 | entropy 0.387 | 2.7s
2026-07-14 13:14:08 | INFO | Epoch 004/100 | train 15.40% loss 4.1478 | val 18.90% loss 4.0130 | entropy 0.386 | 2.7s
2026-07-14 13:14:13 | INFO | Epoch 005/100 | train 32.10% loss 3.8022 | val 34.20% loss 3.6487 | entropy 0.379 | 2.8s
2026-07-14 13:14:17 | INFO | Epoch 006/100 | train 42.90% loss 3.4111 | val 44.60% loss 3.1686 | entropy 0.361 | 2.8s
2026-07-14 13:14:22 | INFO | Epoch 007/100 | train 55.00% loss 2.8278 | val 52.80% loss 2.5745 | entropy 0.343 | 2.8s
2026-07-14 13:14:26 | INFO | Epoch 008/100 | train 60.90% loss 2.2939 | val 59.40% loss 2.0629 | entropy 0.327 | 2.9s
2026-07-14 13:14:31 | INFO | Epoch 009/100 | train 63.40% loss 1.9111 | val 66.70% loss 1.6822 | entropy 0.325 | 2.8s
2026-07-14 13:14:35 | INFO | Epoch 010/100 | train 71.00% loss 1.5608 | val 69.50% loss 1.4427 | entropy 0.326 | 2.7s
2026-07-14 13:14:40 | INFO | Epoch 011/100 | train 74.60% loss 1.2794 | val 70.20% loss 1.2378 | entropy 0.316 | 2.8s
2026-07-14 13:14:45 | INFO | Epoch 012/100 | train 75.10% loss 1.1173 | val 72.60% loss 1.1305 | entropy 0.309 | 2.9s
2026-07-14 13:14:49 | INFO | Epoch 013/100 | train 76.80% loss 1.0119 | val 72.00% loss 1.0675 | entropy 0.313 | 2.8s
2026-07-14 13:14:53 | INFO | Epoch 014/100 | train 79.10% loss 0.9387 | val 74.10% loss 1.0014 | entropy 0.310 | 2.8s
2026-07-14 13:14:58 | INFO | Epoch 015/100 | train 79.20% loss 0.8838 | val 74.00% loss 0.9934 | entropy 0.300 | 2.8s
2026-07-14 13:15:02 | INFO | Epoch 016/100 | train 83.80% loss 0.7807 | val 74.50% loss 0.9575 | entropy 0.299 | 2.8s
2026-07-14 13:15:06 | INFO | Epoch 017/100 | train 85.80% loss 0.6878 | val 73.90% loss 0.9425 | entropy 0.305 | 2.8s
