2026-07-14 14:23:53 | INFO | Run directory: outputs/vtab1k_cifar100/full_finetune/seed_0
2026-07-14 14:23:53 | INFO | Method=full_finetune dataset=vtab1k_cifar100 seed=0 device=cuda
2026-07-14 14:23:55 | INFO | Dataset sizes: train=1000 val=1000 test=10000
2026-07-14 14:23:55 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 14:23:56 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 14:23:56 | INFO | Trainable params: 85.8756M (99.8553% of ViT-B/16 86M)
2026-07-14 14:23:56 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 14:24:01 | INFO | Epoch 001/100 | train 1.00% loss 4.7003 | val 1.00% loss 4.6859 | entropy 0.000 | 3.5s
2026-07-14 14:24:04 | INFO | Epoch 002/100 | train 1.80% loss 4.6243 | val 2.10% loss 4.6051 | entropy 0.000 | 1.9s
2026-07-14 14:24:07 | INFO | Epoch 003/100 | train 3.20% loss 4.5088 | val 3.40% loss 4.4979 | entropy 0.000 | 1.9s
2026-07-14 14:24:09 | INFO | Epoch 004/100 | train 7.60% loss 4.3601 | val 7.90% loss 4.3590 | entropy 0.000 | 1.9s
2026-07-14 14:24:12 | INFO | Epoch 005/100 | train 17.90% loss 4.1358 | val 15.10% loss 4.1714 | entropy 0.000 | 1.9s
2026-07-14 14:24:15 | INFO | Epoch 006/100 | train 29.70% loss 3.8966 | val 25.70% loss 3.9206 | entropy 0.000 | 1.9s
2026-07-14 14:24:18 | INFO | Epoch 007/100 | train 46.00% loss 3.5483 | val 33.40% loss 3.6279 | entropy 0.000 | 1.9s
2026-07-14 14:24:21 | INFO | Epoch 008/100 | train 55.10% loss 3.1915 | val 42.20% loss 3.3267 | entropy 0.000 | 2.0s
2026-07-14 14:24:23 | INFO | Epoch 009/100 | train 63.40% loss 2.8445 | val 48.80% loss 3.0223 | entropy 0.000 | 2.0s
2026-07-14 14:24:26 | INFO | Epoch 010/100 | train 69.00% loss 2.4939 | val 53.20% loss 2.7624 | entropy 0.000 | 1.9s
2026-07-14 14:24:29 | INFO | Epoch 011/100 | train 77.20% loss 2.1377 | val 57.90% loss 2.5174 | entropy 0.000 | 1.8s
2026-07-14 14:24:31 | INFO | Epoch 012/100 | train 79.20% loss 1.8693 | val 60.70% loss 2.3367 | entropy 0.000 | 1.8s
2026-07-14 14:24:34 | INFO | Epoch 013/100 | train 82.40% loss 1.6512 | val 62.10% loss 2.1856 | entropy 0.000 | 1.9s
2026-07-14 14:24:37 | INFO | Epoch 014/100 | train 84.20% loss 1.4883 | val 62.90% loss 2.0807 | entropy 0.000 | 1.9s
2026-07-14 14:24:40 | INFO | Epoch 015/100 | train 83.90% loss 1.3451 | val 64.80% loss 1.9602 | entropy 0.000 | 1.9s
2026-07-14 14:24:42 | INFO | Epoch 016/100 | train 87.00% loss 1.1763 | val 63.70% loss 1.8872 | entropy 0.000 | 1.8s
2026-07-14 14:24:45 | INFO | Epoch 017/100 | train 89.40% loss 1.0481 | val 65.20% loss 1.8208 | entropy 0.000 | 1.9s
2026-07-14 14:24:48 | INFO | Epoch 018/100 | train 89.40% loss 0.9724 | val 67.10% loss 1.7485 | entropy 0.000 | 1.9s
2026-07-14 14:24:51 | INFO | Epoch 019/100 | train 90.30% loss 0.8594 | val 65.70% loss 1.7083 | entropy 0.000 | 1.9s
2026-07-14 14:24:53 | INFO | Epoch 020/100 | train 91.50% loss 0.7920 | val 66.00% loss 1.6686 | entropy 0.000 | 1.8s
2026-07-14 14:24:56 | INFO | Epoch 021/100 | train 91.50% loss 0.7241 | val 66.00% loss 1.6392 | entropy 0.000 | 1.9s
2026-07-14 14:24:59 | INFO | Epoch 022/100 | train 92.60% loss 0.6687 | val 65.80% loss 1.6293 | entropy 0.000 | 1.8s
2026-07-14 14:25:02 | INFO | Epoch 023/100 | train 90.80% loss 0.6791 | val 67.10% loss 1.6204 | entropy 0.000 | 1.8s
2026-07-14 14:25:04 | INFO | Epoch 024/100 | train 93.00% loss 0.5948 | val 67.40% loss 1.5522 | entropy 0.000 | 1.9s
2026-07-14 14:25:07 | INFO | Epoch 025/100 | train 92.70% loss 0.5832 | val 67.20% loss 1.5316 | entropy 0.000 | 1.9s
2026-07-14 14:25:10 | INFO | Epoch 026/100 | train 93.10% loss 0.5108 | val 67.00% loss 1.4956 | entropy 0.000 | 1.9s
2026-07-14 14:25:12 | INFO | Epoch 027/100 | train 91.80% loss 0.5089 | val 66.70% loss 1.4862 | entropy 0.000 | 1.8s
2026-07-14 14:25:15 | INFO | Epoch 028/100 | train 93.70% loss 0.4499 | val 67.30% loss 1.4944 | entropy 0.000 | 1.9s
2026-07-14 14:25:18 | INFO | Epoch 029/100 | train 93.00% loss 0.4898 | val 67.80% loss 1.4565 | entropy 0.000 | 1.9s
2026-07-14 14:25:21 | INFO | Epoch 030/100 | train 93.00% loss 0.4436 | val 67.20% loss 1.4686 | entropy 0.000 | 1.8s
2026-07-14 14:25:24 | INFO | Epoch 031/100 | train 91.90% loss 0.4479 | val 68.10% loss 1.4294 | entropy 0.000 | 1.8s
2026-07-14 14:25:26 | INFO | Epoch 032/100 | train 92.50% loss 0.4379 | val 66.00% loss 1.4715 | entropy 0.000 | 1.9s
2026-07-14 14:25:29 | INFO | Epoch 033/100 | train 92.90% loss 0.4638 | val 67.40% loss 1.4261 | entropy 0.000 | 1.8s
2026-07-14 14:25:32 | INFO | Epoch 034/100 | train 93.80% loss 0.3765 | val 68.10% loss 1.4305 | entropy 0.000 | 1.9s
2026-07-14 14:25:35 | INFO | Epoch 035/100 | train 93.90% loss 0.3987 | val 68.70% loss 1.3984 | entropy 0.000 | 1.8s
2026-07-14 14:25:37 | INFO | Epoch 036/100 | train 93.60% loss 0.4146 | val 66.70% loss 1.4085 | entropy 0.000 | 2.0s
2026-07-14 14:25:40 | INFO | Epoch 037/100 | train 94.50% loss 0.3648 | val 67.20% loss 1.4266 | entropy 0.000 | 1.9s
2026-07-14 14:25:43 | INFO | Epoch 038/100 | train 95.10% loss 0.3312 | val 64.30% loss 1.4774 | entropy 0.000 | 1.9s
2026-07-14 14:25:46 | INFO | Epoch 039/100 | train 94.30% loss 0.3817 | val 66.80% loss 1.4023 | entropy 0.000 | 2.0s
2026-07-14 14:25:48 | INFO | Epoch 040/100 | train 95.30% loss 0.3049 | val 67.40% loss 1.3964 | entropy 0.000 | 1.8s
2026-07-14 14:25:51 | INFO | Epoch 041/100 | train 94.70% loss 0.3233 | val 66.40% loss 1.4032 | entropy 0.000 | 1.8s
2026-07-14 14:25:54 | INFO | Epoch 042/100 | train 95.40% loss 0.3020 | val 67.90% loss 1.3662 | entropy 0.000 | 1.8s
2026-07-14 14:25:57 | INFO | Epoch 043/100 | train 95.10% loss 0.2747 | val 66.60% loss 1.3926 | entropy 0.000 | 1.9s
2026-07-14 14:25:59 | INFO | Epoch 044/100 | train 94.60% loss 0.3321 | val 67.30% loss 1.3658 | entropy 0.000 | 1.8s
2026-07-14 14:26:02 | INFO | Epoch 045/100 | train 94.80% loss 0.3223 | val 67.00% loss 1.3865 | entropy 0.000 | 1.9s
2026-07-14 14:26:05 | INFO | Epoch 046/100 | train 93.90% loss 0.3414 | val 65.60% loss 1.3878 | entropy 0.000 | 1.8s
2026-07-14 14:26:08 | INFO | Epoch 047/100 | train 95.90% loss 0.2680 | val 66.60% loss 1.3965 | entropy 0.000 | 2.0s
2026-07-14 14:26:10 | INFO | Epoch 048/100 | train 95.30% loss 0.2582 | val 67.90% loss 1.3605 | entropy 0.000 | 1.9s
2026-07-14 14:26:13 | INFO | Epoch 049/100 | train 95.30% loss 0.2891 | val 66.30% loss 1.4120 | entropy 0.000 | 1.9s
2026-07-14 14:26:16 | INFO | Epoch 050/100 | train 95.10% loss 0.2743 | val 64.80% loss 1.4015 | entropy 0.000 | 1.9s
2026-07-14 14:26:19 | INFO | Epoch 051/100 | train 95.60% loss 0.2630 | val 66.30% loss 1.4019 | entropy 0.000 | 1.9s
2026-07-14 14:26:21 | INFO | Epoch 052/100 | train 97.20% loss 0.2155 | val 66.30% loss 1.3744 | entropy 0.000 | 1.8s
2026-07-14 14:26:24 | INFO | Epoch 053/100 | train 95.40% loss 0.2436 | val 65.70% loss 1.3651 | entropy 0.000 | 1.9s
2026-07-14 14:26:27 | INFO | Epoch 054/100 | train 94.80% loss 0.2800 | val 65.00% loss 1.4307 | entropy 0.000 | 1.9s
2026-07-14 14:26:29 | INFO | Epoch 055/100 | train 96.00% loss 0.2394 | val 66.00% loss 1.3938 | entropy 0.000 | 1.8s
2026-07-14 14:26:32 | INFO | Epoch 056/100 | train 97.20% loss 0.1898 | val 66.30% loss 1.3823 | entropy 0.000 | 1.9s
2026-07-14 14:26:35 | INFO | Epoch 057/100 | train 96.20% loss 0.2004 | val 66.00% loss 1.3992 | entropy 0.000 | 1.9s
2026-07-14 14:26:37 | INFO | Epoch 058/100 | train 95.60% loss 0.2319 | val 68.00% loss 1.3931 | entropy 0.000 | 1.8s
2026-07-14 14:26:40 | INFO | Epoch 059/100 | train 96.50% loss 0.2016 | val 66.50% loss 1.3411 | entropy 0.000 | 1.8s
2026-07-14 14:26:43 | INFO | Epoch 060/100 | train 95.70% loss 0.2133 | val 68.00% loss 1.3626 | entropy 0.000 | 2.0s
2026-07-14 14:26:45 | INFO | Epoch 061/100 | train 96.00% loss 0.2151 | val 67.70% loss 1.3413 | entropy 0.000 | 1.9s
2026-07-14 14:26:48 | INFO | Epoch 062/100 | train 97.00% loss 0.1772 | val 67.80% loss 1.3314 | entropy 0.000 | 1.9s
2026-07-14 14:26:51 | INFO | Epoch 063/100 | train 95.70% loss 0.2207 | val 67.50% loss 1.3434 | entropy 0.000 | 1.9s
2026-07-14 14:26:54 | INFO | Epoch 064/100 | train 96.80% loss 0.2022 | val 67.40% loss 1.3700 | entropy 0.000 | 2.0s
2026-07-14 14:26:56 | INFO | Epoch 065/100 | train 96.10% loss 0.1829 | val 67.20% loss 1.3582 | entropy 0.000 | 1.9s
2026-07-14 14:26:59 | INFO | Epoch 066/100 | train 96.30% loss 0.1753 | val 67.60% loss 1.3346 | entropy 0.000 | 1.9s
2026-07-14 14:27:02 | INFO | Epoch 067/100 | train 95.70% loss 0.2255 | val 66.00% loss 1.3194 | entropy 0.000 | 1.9s
2026-07-14 14:27:05 | INFO | Epoch 068/100 | train 96.80% loss 0.1816 | val 67.90% loss 1.3156 | entropy 0.000 | 1.8s
2026-07-14 14:27:07 | INFO | Epoch 069/100 | train 96.40% loss 0.2084 | val 67.10% loss 1.3563 | entropy 0.000 | 2.0s
2026-07-14 14:27:10 | INFO | Epoch 070/100 | train 96.40% loss 0.1751 | val 67.40% loss 1.3510 | entropy 0.000 | 1.9s
2026-07-14 14:27:13 | INFO | Epoch 071/100 | train 97.10% loss 0.1826 | val 66.80% loss 1.3594 | entropy 0.000 | 2.0s
2026-07-14 14:27:16 | INFO | Epoch 072/100 | train 95.70% loss 0.2000 | val 66.80% loss 1.3293 | entropy 0.000 | 1.9s
2026-07-14 14:27:18 | INFO | Epoch 073/100 | train 94.70% loss 0.2544 | val 67.00% loss 1.3280 | entropy 0.000 | 1.8s
2026-07-14 14:27:21 | INFO | Epoch 074/100 | train 96.60% loss 0.1774 | val 67.90% loss 1.3095 | entropy 0.000 | 1.9s
2026-07-14 14:27:24 | INFO | Epoch 075/100 | train 97.70% loss 0.1408 | val 67.90% loss 1.3076 | entropy 0.000 | 2.0s
2026-07-14 14:27:27 | INFO | Epoch 076/100 | train 97.10% loss 0.1885 | val 68.20% loss 1.3175 | entropy 0.000 | 1.8s
