epoch,lr,train_loss,train_ce_loss,train_routing_loss,train_acc,val_loss,val_acc,train_router_entropy,val_router_entropy,epoch_time_s,peak_memory_gb
1,5e-05,4.703277347564697,4.703277347564697,0.0,1.2,4.673099617004395,0.8,0.0,0.0,2.2835617065429688,5.49418830871582
2,0.0001,4.61147265625,4.61147265625,0.0,1.4000000000000001,4.554589839935303,2.4,0.0,0.0,2.289365530014038,5.49418830871582
3,0.00015,4.451767581939698,4.451767581939698,0.0,2.8000000000000003,4.377109371185303,5.4,0.0,0.0,2.2869763374328613,5.49418830871582
4,0.0002,4.229060539245605,4.229060539245605,0.0,11.3,4.117962898254395,15.1,0.0,0.0,2.251408338546753,5.49418830871582
5,0.00025,3.9233886680603027,3.9233886680603027,0.0,26.700000000000003,3.7345234355926515,28.299999999999997,0.0,0.0,2.3788485527038574,5.49418830871582
6,0.0003,3.4773515586853025,3.4773515586853025,0.0,37.5,3.2347294902801513,39.800000000000004,0.0,0.0,2.365963935852051,5.49418830871582
7,0.00035,3.0154990234375,3.0154990234375,0.0,44.6,2.7693691444396973,48.0,0.0,0.0,2.2702927589416504,5.49418830871582
8,0.0004,2.588026365280151,2.588026365280151,0.0,53.300000000000004,2.3657402362823485,57.8,0.0,0.0,2.235912799835205,5.49418830871582
9,0.00045000000000000004,2.2141269550323486,2.2141269550323486,0.0,62.0,2.036953369140625,61.0,0.0,0.0,2.2655937671661377,5.49418830871582
10,0.0005,1.8742586660385132,1.8742586660385132,0.0,66.4,1.7750579824447632,65.4,0.0,0.0,2.2510037422180176,5.49418830871582
11,0.0004998477067547739,1.5860997304916382,1.5860997304916382,0.0,71.8,1.5738177480697633,68.30000000000001,0.0,0.0,2.264157772064209,5.49418830871582
12,0.0004993910125649561,1.4156204214096069,1.4156204214096069,0.0,73.0,1.4274537353515624,68.8,0.0,0.0,2.3020553588867188,5.49418830871582
13,0.0004986304738420684,1.3250347557067872,1.3250347557067872,0.0,73.2,1.32405859375,69.0,0.0,0.0,2.2680716514587402,5.49418830871582
14,0.0004975670171853926,1.0814148263931274,1.0814148263931274,0.0,80.0,1.2443317556381226,71.8,0.0,0.0,2.2718639373779297,5.49418830871582
15,0.000496201938253052,1.036911072731018,1.036911072731018,0.0,79.10000000000001,1.1907612915039063,71.5,0.0,0.0,2.278794288635254,5.49418830871582
16,0.0004945369001834514,0.9889483957290649,0.9889483957290649,0.0,79.0,1.1321177682876586,70.89999999999999,0.0,0.0,2.213778257369995,5.49418830871582
17,0.0004925739315689991,0.9586363840103149,0.9586363840103149,0.0,80.2,1.0811740732192994,73.1,0.0,0.0,2.1982421875,5.49418830871582
18,0.0004903154239845797,0.8644525747299194,0.8644525747299194,0.0,82.19999999999999,1.0624410247802734,72.0,0.0,0.0,2.233983039855957,5.49418830871582
19,0.0004877641290737884,0.8165116901397705,0.8165116901397705,0.0,83.6,1.040969506263733,73.8,0.0,0.0,2.1925947666168213,5.49418830871582
20,0.0004849231551964771,0.7600880589485168,0.7600880589485168,0.0,84.89999999999999,1.0320028772354126,73.3,0.0,0.0,2.2924675941467285,5.49418830871582
21,0.00048179596364169685,0.7546738510131836,0.7546738510131836,0.0,83.7,1.0003288192749022,73.6,0.0,0.0,2.2044522762298584,5.49418830871582
22,0.0004783863644106502,0.6676260602474212,0.6676260602474212,0.0,86.9,0.9863736410140991,73.7,0.0,0.0,2.194392681121826,5.49418830871582
23,0.00047469851157479177,0.6497918844223023,0.6497918844223023,0.0,86.0,0.9882310123443604,72.8,0.0,0.0,2.2052743434906006,5.49418830871582
24,0.00047073689821473173,0.6608401951789856,0.6608401951789856,0.0,87.1,0.9946642980575562,72.7,0.0,0.0,2.305387258529663,5.49418830871582
25,0.00046650635094610973,0.6461593179702759,0.6461593179702759,0.0,86.8,0.9736374683380127,73.1,0.0,0.0,2.2973456382751465,5.49418830871582
26,0.00046201202403910646,0.6702284359931946,0.6702284359931946,0.0,86.1,0.9592461833953857,74.1,0.0,0.0,2.3645644187927246,5.49418830871582
27,0.00045725939313876043,0.5549412920475006,0.5549412920475006,0.0,89.4,0.9486357717514038,73.8,0.0,0.0,2.2717387676239014,5.49418830871582
28,0.0004522542485937369,0.4872656588554382,0.4872656588554382,0.0,89.9,0.9427498617172241,74.7,0.0,0.0,2.262695789337158,5.49418830871582
29,0.00044700268840168044,0.5342193174362183,0.5342193174362183,0.0,88.4,0.9286138229370117,74.1,0.0,0.0,2.2801144123077393,5.49418830871582
30,0.0004415111107797445,0.5210829391479492,0.5210829391479492,0.0,90.10000000000001,0.9106760625839233,74.7,0.0,0.0,2.2275242805480957,5.49418830871582
31,0.00043578620636934855,0.49845544052124025,0.49845544052124025,0.0,89.1,0.9134864797592163,76.1,0.0,0.0,2.237916946411133,5.49418830871582
32,0.0004298349500846628,0.4977582359313965,0.4977582359313965,0.0,89.2,0.9226995706558228,74.1,0.0,0.0,2.2895314693450928,5.49418830871582
33,0.00042366459261474935,0.4478472762107849,0.4478472762107849,0.0,91.3,0.9378636693954467,73.8,0.0,0.0,2.33011531829834,5.49418830871582
34,0.0004172826515897146,0.45531353759765625,0.45531353759765625,0.0,90.0,0.9281125717163086,73.7,0.0,0.0,2.3496336936950684,5.49418830871582
35,0.0004106969024216348,0.43461969375610354,0.43461969375610354,0.0,90.7,0.9382262687683105,73.6,0.0,0.0,2.271580219268799,5.49418830871582
36,0.00040391536883141455,0.41585013031959533,0.41585013031959533,0.0,91.2,0.9270470027923584,74.1,0.0,0.0,2.2773797512054443,5.49418830871582
37,0.0003969463130731183,0.3929138910770416,0.3929138910770416,0.0,91.60000000000001,0.9159780788421631,75.0,0.0,0.0,2.267371654510498,5.49418830871582
38,0.0003897982258676867,0.39664901757240295,0.39664901757240295,0.0,91.9,0.9036714038848876,75.0,0.0,0.0,2.20125412940979,5.49418830871582
39,0.00038247981605830125,0.3768799839019775,0.3768799839019775,0.0,91.5,0.8907522315979004,74.6,0.0,0.0,2.184541702270508,5.49418830871582
40,0.000375,0.4916517324447632,0.4916517324447632,0.0,88.8,0.9051869401931762,74.5,0.0,0.0,2.229598045349121,5.49418830871582
41,0.0003673678906964727,0.41472142171859744,0.41472142171859744,0.0,90.9,0.9122660837173462,74.8,0.0,0.0,2.2054269313812256,5.49418830871582
42,0.00035959278669726934,0.34385134649276733,0.34385134649276733,0.0,92.7,0.9049213171005249,74.3,0.0,0.0,2.272193431854248,5.49418830871582
43,0.0003516841607689501,0.38244210290908814,0.38244210290908814,0.0,91.10000000000001,0.9229839916229248,74.1,0.0,0.0,2.201202630996704,5.49418830871582
44,0.00034365164835397803,0.36533107042312624,0.36533107042312624,0.0,91.4,0.9156290607452393,74.7,0.0,0.0,2.226595640182495,5.49418830871582
45,0.0003355050358314172,0.3755172789096832,0.3755172789096832,0.0,92.30000000000001,0.9076197986602783,74.6,0.0,0.0,2.3566739559173584,5.49418830871582
46,0.00032725424859373687,0.3856833307743073,0.3856833307743073,0.0,91.5,0.9045101470947265,74.3,0.0,0.0,2.2144176959991455,5.49418830871582
47,0.0003189093389542498,0.3143132027387619,0.3143132027387619,0.0,93.10000000000001,0.9092877101898194,74.4,0.0,0.0,2.262458086013794,5.49418830871582
48,0.0003104804738999169,0.36919003224372865,0.36919003224372865,0.0,92.0,0.9087591533660888,73.9,0.0,0.0,2.27583384513855,5.49418830871582
49,0.0003019779227044398,0.3060176765918732,0.3060176765918732,0.0,92.60000000000001,0.9055747089385986,74.1,0.0,0.0,2.3005847930908203,5.49418830871582
50,0.00029341204441673266,0.33974530005455017,0.33974530005455017,0.0,92.30000000000001,0.9045489044189453,74.6,0.0,0.0,2.245098114013672,5.49418830871582
51,0.00028479327524001636,0.3899012480974197,0.3899012480974197,0.0,90.60000000000001,0.9008724126815796,74.6,0.0,0.0,2.218255043029785,5.49418830871582
52,0.0002761321158169134,0.33203714537620543,0.33203714537620543,0.0,92.30000000000001,0.9035113849639893,75.1,0.0,0.0,2.2255680561065674,5.49418830871582
53,0.0002674391184360313,0.26445147109031675,0.26445147109031675,0.0,94.3,0.9097796440124511,75.6,0.0,0.0,2.2969970703125,5.49418830871582
54,0.0002587248741756253,0.3153674632310867,0.3153674632310867,0.0,91.8,0.9061474590301514,74.2,0.0,0.0,2.1930594444274902,5.49418830871582
55,0.00025,0.3543375074863434,0.3543375074863434,0.0,91.60000000000001,0.9058423557281494,75.0,0.0,0.0,2.226661443710327,5.49418830871582
56,0.00024127512582437484,0.28519238662719726,0.28519238662719726,0.0,93.2,0.9088065919876098,74.6,0.0,0.0,2.3058791160583496,5.49418830871582
57,0.00023256088156396867,0.2758832287788391,0.2758832287788391,0.0,94.5,0.9053777894973755,74.5,0.0,0.0,2.225437641143799,5.49418830871582
58,0.00022386788418308668,0.3451695119142532,0.3451695119142532,0.0,91.9,0.9001921339035034,74.4,0.0,0.0,2.3432979583740234,5.49418830871582
59,0.0002152067247599837,0.28384854793548586,0.28384854793548586,0.0,94.0,0.914055064201355,74.1,0.0,0.0,2.2938342094421387,5.49418830871582
60,0.00020658795558326743,0.2817854409217834,0.2817854409217834,0.0,94.0,0.9117573623657227,74.6,0.0,0.0,2.268634080886841,5.49418830871582
61,0.0001980220772955602,0.24243581748008727,0.24243581748008727,0.0,94.8,0.9001247596740722,73.8,0.0,0.0,2.269718647003174,5.49418830871582
62,0.0001895195261000831,0.25165672647953036,0.25165672647953036,0.0,94.39999999999999,0.9034844379425049,74.7,0.0,0.0,2.2799971103668213,5.49418830871582
63,0.00018109066104575022,0.34057536935806276,0.34057536935806276,0.0,91.9,0.9002630910873413,74.6,0.0,0.0,2.2346746921539307,5.49418830871582
64,0.00017274575140626317,0.2981531879901886,0.2981531879901886,0.0,92.9,0.8923927307128906,75.3,0.0,0.0,2.2593157291412354,5.49418830871582
65,0.00016449496416858284,0.2873825614452362,0.2873825614452362,0.0,93.60000000000001,0.8973077955245972,75.0,0.0,0.0,2.2534704208374023,5.49418830871582
66,0.00015634835164602198,0.30125486993789674,0.30125486993789674,0.0,92.5,0.9040856246948242,75.1,0.0,0.0,2.3437795639038086,5.49418830871582
67,0.00014831583923105,0.23931158804893493,0.23931158804893493,0.0,94.69999999999999,0.9092404928207397,74.5,0.0,0.0,2.270415782928467,5.49418830871582
68,0.00014040721330273062,0.28242189931869505,0.28242189931869505,0.0,93.4,0.912542875289917,74.3,0.0,0.0,2.2540178298950195,5.49418830871582
69,0.00013263210930352737,0.23706400370597838,0.23706400370597838,0.0,94.5,0.9132553453445434,74.1,0.0,0.0,2.23763108253479,5.49418830871582
70,0.00012500000000000006,0.2734417259693146,0.2734417259693146,0.0,93.30000000000001,0.9048167581558227,74.9,0.0,0.0,2.30263614654541,5.49418830871582
71,0.0001175201839416988,0.23224700021743774,0.23224700021743774,0.0,95.19999999999999,0.8974883842468262,75.2,0.0,0.0,2.275857925415039,5.49418830871582
72,0.00011020177413231333,0.2389958211183548,0.2389958211183548,0.0,94.19999999999999,0.9041528425216675,75.2,0.0,0.0,2.2790474891662598,5.49418830871582
73,0.00010305368692688174,0.2479676146507263,0.2479676146507263,0.0,94.6,0.9095773649215698,74.8,0.0,0.0,2.2878706455230713,5.49418830871582
74,9.608463116858542e-05,0.2776738404035568,0.2776738404035568,0.0,93.7,0.9072382040023804,75.0,0.0,0.0,2.232583522796631,5.49418830871582
75,8.930309757836516e-05,0.23678745889663697,0.23678745889663697,0.0,94.3,0.9047017078399658,74.8,0.0,0.0,2.2226972579956055,5.49418830871582
