2026-07-13 20:51:38 | INFO | Run directory: outputs/vtab1k_cifar100/lora/seed_0
2026-07-13 20:51:38 | INFO | Method=lora dataset=vtab1k_cifar100 seed=0 device=cuda
2026-07-13 20:51:41 | INFO | Dataset sizes: train=1000 val=1000 test=10000
2026-07-13 20:51:42 | INFO | Trainable params: 0.3718M (0.4323% of ViT-B/16 86M)
2026-07-13 20:51:46 | INFO | Epoch 001/100 | train 1.20% loss 4.7033 | val 0.80% loss 4.6731 | entropy 0.000 | 2.3s
2026-07-13 20:51:50 | INFO | Epoch 002/100 | train 1.40% loss 4.6115 | val 2.40% loss 4.5546 | entropy 0.000 | 2.3s
2026-07-13 20:51:53 | INFO | Epoch 003/100 | train 2.80% loss 4.4518 | val 5.40% loss 4.3771 | entropy 0.000 | 2.3s
2026-07-13 20:51:57 | INFO | Epoch 004/100 | train 11.30% loss 4.2291 | val 15.10% loss 4.1180 | entropy 0.000 | 2.3s
2026-07-13 20:52:01 | INFO | Epoch 005/100 | train 26.70% loss 3.9234 | val 28.30% loss 3.7345 | entropy 0.000 | 2.4s
2026-07-13 20:52:05 | INFO | Epoch 006/100 | train 37.50% loss 3.4774 | val 39.80% loss 3.2347 | entropy 0.000 | 2.4s
2026-07-13 20:52:09 | INFO | Epoch 007/100 | train 44.60% loss 3.0155 | val 48.00% loss 2.7694 | entropy 0.000 | 2.3s
2026-07-13 20:52:13 | INFO | Epoch 008/100 | train 53.30% loss 2.5880 | val 57.80% loss 2.3657 | entropy 0.000 | 2.2s
2026-07-13 20:52:17 | INFO | Epoch 009/100 | train 62.00% loss 2.2141 | val 61.00% loss 2.0370 | entropy 0.000 | 2.3s
2026-07-13 20:52:20 | INFO | Epoch 010/100 | train 66.40% loss 1.8743 | val 65.40% loss 1.7751 | entropy 0.000 | 2.3s
2026-07-13 20:52:24 | INFO | Epoch 011/100 | train 71.80% loss 1.5861 | val 68.30% loss 1.5738 | entropy 0.000 | 2.3s
2026-07-13 20:52:28 | INFO | Epoch 012/100 | train 73.00% loss 1.4156 | val 68.80% loss 1.4275 | entropy 0.000 | 2.3s
2026-07-13 20:52:32 | INFO | Epoch 013/100 | train 73.20% loss 1.3250 | val 69.00% loss 1.3241 | entropy 0.000 | 2.3s
2026-07-13 20:52:36 | INFO | Epoch 014/100 | train 80.00% loss 1.0814 | val 71.80% loss 1.2443 | entropy 0.000 | 2.3s
2026-07-13 20:52:40 | INFO | Epoch 015/100 | train 79.10% loss 1.0369 | val 71.50% loss 1.1908 | entropy 0.000 | 2.3s
2026-07-13 20:52:43 | INFO | Epoch 016/100 | train 79.00% loss 0.9889 | val 70.90% loss 1.1321 | entropy 0.000 | 2.2s
2026-07-13 20:52:47 | INFO | Epoch 017/100 | train 80.20% loss 0.9586 | val 73.10% loss 1.0812 | entropy 0.000 | 2.2s
2026-07-13 20:52:51 | INFO | Epoch 018/100 | train 82.20% loss 0.8645 | val 72.00% loss 1.0624 | entropy 0.000 | 2.2s
2026-07-13 20:52:54 | INFO | Epoch 019/100 | train 83.60% loss 0.8165 | val 73.80% loss 1.0410 | entropy 0.000 | 2.2s
2026-07-13 20:52:58 | INFO | Epoch 020/100 | train 84.90% loss 0.7601 | val 73.30% loss 1.0320 | entropy 0.000 | 2.3s
2026-07-13 20:53:02 | INFO | Epoch 021/100 | train 83.70% loss 0.7547 | val 73.60% loss 1.0003 | entropy 0.000 | 2.2s
2026-07-13 20:53:06 | INFO | Epoch 022/100 | train 86.90% loss 0.6676 | val 73.70% loss 0.9864 | entropy 0.000 | 2.2s
2026-07-13 20:53:09 | INFO | Epoch 023/100 | train 86.00% loss 0.6498 | val 72.80% loss 0.9882 | entropy 0.000 | 2.2s
2026-07-13 20:53:13 | INFO | Epoch 024/100 | train 87.10% loss 0.6608 | val 72.70% loss 0.9947 | entropy 0.000 | 2.3s
2026-07-13 20:53:17 | INFO | Epoch 025/100 | train 86.80% loss 0.6462 | val 73.10% loss 0.9736 | entropy 0.000 | 2.3s
2026-07-13 20:53:21 | INFO | Epoch 026/100 | train 86.10% loss 0.6702 | val 74.10% loss 0.9592 | entropy 0.000 | 2.4s
2026-07-13 20:53:24 | INFO | Epoch 027/100 | train 89.40% loss 0.5549 | val 73.80% loss 0.9486 | entropy 0.000 | 2.3s
2026-07-13 20:53:28 | INFO | Epoch 028/100 | train 89.90% loss 0.4873 | val 74.70% loss 0.9427 | entropy 0.000 | 2.3s
2026-07-13 20:53:32 | INFO | Epoch 029/100 | train 88.40% loss 0.5342 | val 74.10% loss 0.9286 | entropy 0.000 | 2.3s
2026-07-13 20:53:36 | INFO | Epoch 030/100 | train 90.10% loss 0.5211 | val 74.70% loss 0.9107 | entropy 0.000 | 2.2s
2026-07-13 20:53:40 | INFO | Epoch 031/100 | train 89.10% loss 0.4985 | val 76.10% loss 0.9135 | entropy 0.000 | 2.2s
2026-07-13 20:53:43 | INFO | Epoch 032/100 | train 89.20% loss 0.4978 | val 74.10% loss 0.9227 | entropy 0.000 | 2.3s
2026-07-13 20:53:47 | INFO | Epoch 033/100 | train 91.30% loss 0.4478 | val 73.80% loss 0.9379 | entropy 0.000 | 2.3s
2026-07-13 20:53:51 | INFO | Epoch 034/100 | train 90.00% loss 0.4553 | val 73.70% loss 0.9281 | entropy 0.000 | 2.3s
2026-07-13 20:53:55 | INFO | Epoch 035/100 | train 90.70% loss 0.4346 | val 73.60% loss 0.9382 | entropy 0.000 | 2.3s
2026-07-13 20:53:59 | INFO | Epoch 036/100 | train 91.20% loss 0.4159 | val 74.10% loss 0.9270 | entropy 0.000 | 2.3s
2026-07-13 20:54:02 | INFO | Epoch 037/100 | train 91.60% loss 0.3929 | val 75.00% loss 0.9160 | entropy 0.000 | 2.3s
2026-07-13 20:54:06 | INFO | Epoch 038/100 | train 91.90% loss 0.3966 | val 75.00% loss 0.9037 | entropy 0.000 | 2.2s
2026-07-13 20:54:10 | INFO | Epoch 039/100 | train 91.50% loss 0.3769 | val 74.60% loss 0.8908 | entropy 0.000 | 2.2s
2026-07-13 20:54:13 | INFO | Epoch 040/100 | train 88.80% loss 0.4917 | val 74.50% loss 0.9052 | entropy 0.000 | 2.2s
2026-07-13 20:54:17 | INFO | Epoch 041/100 | train 90.90% loss 0.4147 | val 74.80% loss 0.9123 | entropy 0.000 | 2.2s
2026-07-13 20:54:21 | INFO | Epoch 042/100 | train 92.70% loss 0.3439 | val 74.30% loss 0.9049 | entropy 0.000 | 2.3s
2026-07-13 20:54:24 | INFO | Epoch 043/100 | train 91.10% loss 0.3824 | val 74.10% loss 0.9230 | entropy 0.000 | 2.2s
2026-07-13 20:54:28 | INFO | Epoch 044/100 | train 91.40% loss 0.3653 | val 74.70% loss 0.9156 | entropy 0.000 | 2.2s
2026-07-13 20:54:32 | INFO | Epoch 045/100 | train 92.30% loss 0.3755 | val 74.60% loss 0.9076 | entropy 0.000 | 2.4s
2026-07-13 20:54:36 | INFO | Epoch 046/100 | train 91.50% loss 0.3857 | val 74.30% loss 0.9045 | entropy 0.000 | 2.2s
