2026-07-13 21:10:13 | INFO | Run directory: outputs/vtab1k_cifar100/para_cvpt/seed_0
2026-07-13 21:10:13 | INFO | Method=para_cvpt dataset=vtab1k_cifar100 seed=0 device=cuda
2026-07-13 21:10:15 | INFO | Dataset sizes: train=1000 val=1000 test=10000
2026-07-13 21:10:16 | INFO | Trainable params: 0.3007M (0.3497% of ViT-B/16 86M)
2026-07-13 21:10:20 | INFO | Epoch 001/100 | train 0.80% loss 4.6765 | val 0.90% loss 4.6739 | entropy 0.996 | 2.4s
2026-07-13 21:10:24 | INFO | Epoch 002/100 | train 1.70% loss 4.5879 | val 1.70% loss 4.5682 | entropy 0.996 | 2.4s
2026-07-13 21:10:28 | INFO | Epoch 003/100 | train 3.10% loss 4.4542 | val 4.70% loss 4.4160 | entropy 0.996 | 2.3s
2026-07-13 21:10:32 | INFO | Epoch 004/100 | train 8.70% loss 4.2736 | val 11.30% loss 4.2196 | entropy 0.997 | 2.3s
2026-07-13 21:10:37 | INFO | Epoch 005/100 | train 17.90% loss 4.0565 | val 19.70% loss 3.9852 | entropy 0.996 | 2.4s
2026-07-13 21:10:41 | INFO | Epoch 006/100 | train 30.50% loss 3.8143 | val 31.70% loss 3.7187 | entropy 0.993 | 2.4s
2026-07-13 21:10:45 | INFO | Epoch 007/100 | train 40.70% loss 3.5320 | val 40.80% loss 3.4234 | entropy 0.971 | 2.3s
2026-07-13 21:10:50 | INFO | Epoch 008/100 | train 50.30% loss 3.1921 | val 48.60% loss 3.0898 | entropy 0.897 | 2.4s
2026-07-13 21:10:54 | INFO | Epoch 009/100 | train 58.40% loss 2.8074 | val 53.70% loss 2.7305 | entropy 0.801 | 2.4s
2026-07-13 21:10:58 | INFO | Epoch 010/100 | train 62.90% loss 2.4236 | val 57.60% loss 2.3826 | entropy 0.668 | 2.4s
2026-07-13 21:11:03 | INFO | Epoch 011/100 | train 68.50% loss 2.0483 | val 60.70% loss 2.0969 | entropy 0.578 | 2.5s
2026-07-13 21:11:07 | INFO | Epoch 012/100 | train 71.90% loss 1.7987 | val 64.50% loss 1.8610 | entropy 0.538 | 2.5s
2026-07-13 21:11:12 | INFO | Epoch 013/100 | train 73.50% loss 1.6074 | val 66.60% loss 1.6772 | entropy 0.512 | 2.4s
2026-07-13 21:11:16 | INFO | Epoch 014/100 | train 76.70% loss 1.3618 | val 67.10% loss 1.5407 | entropy 0.465 | 2.4s
