2026-07-14 09:18:39 | INFO | Run directory: outputs/cub_200_2011/cvpt/seed_0
2026-07-14 09:18:39 | INFO | Method=cvpt dataset=cub_200_2011 seed=0 device=cuda
2026-07-14 09:18:39 | INFO | Dataset sizes: train=5394 val=600 test=5794
2026-07-14 09:18:39 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 09:18:40 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 09:18:40 | INFO | Trainable params: 0.2275M (0.2646% of ViT-B/16 86M)
2026-07-14 09:18:40 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 09:18:51 | INFO | Epoch 001/100 | train 1.48% loss 5.2244 | val 4.67% loss 5.0409 | entropy 0.000 | 8.9s
2026-07-14 09:19:01 | INFO | Epoch 002/100 | train 10.94% loss 4.7864 | val 23.50% loss 4.4094 | entropy 0.000 | 8.2s
2026-07-14 09:19:11 | INFO | Epoch 003/100 | train 29.63% loss 4.0454 | val 41.17% loss 3.5393 | entropy 0.000 | 8.3s
2026-07-14 09:19:21 | INFO | Epoch 004/100 | train 44.09% loss 3.2141 | val 53.50% loss 2.7109 | entropy 0.000 | 8.3s
2026-07-14 09:19:31 | INFO | Epoch 005/100 | train 54.84% loss 2.5086 | val 63.17% loss 2.0731 | entropy 0.000 | 8.2s
2026-07-14 09:19:41 | INFO | Epoch 006/100 | train 63.79% loss 1.9546 | val 67.33% loss 1.6288 | entropy 0.000 | 8.3s
2026-07-14 09:19:51 | INFO | Epoch 007/100 | train 69.24% loss 1.6032 | val 72.00% loss 1.3332 | entropy 0.000 | 8.4s
2026-07-14 09:20:01 | INFO | Epoch 008/100 | train 73.21% loss 1.3323 | val 74.17% loss 1.1345 | entropy 0.000 | 8.4s
2026-07-14 09:20:11 | INFO | Epoch 009/100 | train 76.71% loss 1.1523 | val 75.50% loss 1.0047 | entropy 0.000 | 8.1s
2026-07-14 09:20:21 | INFO | Epoch 010/100 | train 78.53% loss 1.0185 | val 76.50% loss 0.9326 | entropy 0.000 | 8.2s
2026-07-14 09:20:31 | INFO | Epoch 011/100 | train 81.24% loss 0.8908 | val 78.67% loss 0.8677 | entropy 0.000 | 8.5s
2026-07-14 09:20:41 | INFO | Epoch 012/100 | train 83.46% loss 0.8018 | val 78.67% loss 0.8296 | entropy 0.000 | 8.3s
2026-07-14 09:20:50 | INFO | Epoch 013/100 | train 83.82% loss 0.7557 | val 78.17% loss 0.8067 | entropy 0.000 | 8.3s
2026-07-14 09:20:59 | INFO | Epoch 014/100 | train 85.39% loss 0.6839 | val 79.83% loss 0.7829 | entropy 0.000 | 8.2s
2026-07-14 09:21:09 | INFO | Epoch 015/100 | train 86.97% loss 0.6350 | val 80.00% loss 0.7745 | entropy 0.000 | 8.3s
2026-07-14 09:21:19 | INFO | Epoch 016/100 | train 86.91% loss 0.6413 | val 79.67% loss 0.7559 | entropy 0.000 | 8.3s
