2026-07-14 07:53:27 | INFO | Run directory: outputs/cub_200_2011/linear_probe/seed_0
2026-07-14 07:53:27 | INFO | Method=linear_probe dataset=cub_200_2011 seed=0 device=cuda
2026-07-14 07:53:27 | INFO | Dataset sizes: train=5394 val=600 test=5794
2026-07-14 07:53:27 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 07:53:28 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 07:53:28 | INFO | Trainable params: 0.1538M (0.1788% of ViT-B/16 86M)
2026-07-14 07:53:28 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 07:53:37 | INFO | Epoch 001/100 | train 1.52% loss 5.2142 | val 5.00% loss 5.0234 | entropy 0.000 | 6.9s
2026-07-14 07:53:41 | INFO | Epoch 002/100 | train 11.31% loss 4.7767 | val 22.83% loss 4.4307 | entropy 0.000 | 3.6s
2026-07-14 07:53:46 | INFO | Epoch 003/100 | train 27.47% loss 4.1455 | val 38.50% loss 3.7278 | entropy 0.000 | 3.3s
2026-07-14 07:53:50 | INFO | Epoch 004/100 | train 39.69% loss 3.4859 | val 46.00% loss 3.0716 | entropy 0.000 | 3.3s
2026-07-14 07:53:55 | INFO | Epoch 005/100 | train 48.41% loss 2.9118 | val 53.17% loss 2.5494 | entropy 0.000 | 3.3s
2026-07-14 07:53:59 | INFO | Epoch 006/100 | train 54.80% loss 2.4318 | val 57.17% loss 2.1522 | entropy 0.000 | 3.4s
2026-07-14 07:54:04 | INFO | Epoch 007/100 | train 58.92% loss 2.1116 | val 62.00% loss 1.8733 | entropy 0.000 | 3.4s
2026-07-14 07:54:08 | INFO | Epoch 008/100 | train 63.16% loss 1.8435 | val 65.33% loss 1.6595 | entropy 0.000 | 3.3s
2026-07-14 07:54:13 | INFO | Epoch 009/100 | train 66.07% loss 1.6518 | val 66.83% loss 1.4972 | entropy 0.000 | 3.2s
2026-07-14 07:54:17 | INFO | Epoch 010/100 | train 68.39% loss 1.5017 | val 68.00% loss 1.3972 | entropy 0.000 | 3.3s
2026-07-14 07:54:22 | INFO | Epoch 011/100 | train 71.17% loss 1.3503 | val 69.00% loss 1.3062 | entropy 0.000 | 3.4s
2026-07-14 07:54:26 | INFO | Epoch 012/100 | train 73.08% loss 1.2474 | val 70.83% loss 1.2389 | entropy 0.000 | 3.3s
2026-07-14 07:54:30 | INFO | Epoch 013/100 | train 74.77% loss 1.1798 | val 73.33% loss 1.1769 | entropy 0.000 | 3.3s
2026-07-14 07:54:35 | INFO | Epoch 014/100 | train 76.33% loss 1.0997 | val 72.33% loss 1.1431 | entropy 0.000 | 3.4s
2026-07-14 07:54:39 | INFO | Epoch 015/100 | train 78.11% loss 1.0352 | val 72.50% loss 1.1223 | entropy 0.000 | 3.3s
2026-07-14 07:54:44 | INFO | Epoch 016/100 | train 78.25% loss 1.0318 | val 74.67% loss 1.0843 | entropy 0.000 | 3.3s
2026-07-14 07:54:48 | INFO | Epoch 017/100 | train 80.29% loss 0.9362 | val 74.17% loss 1.0603 | entropy 0.000 | 3.2s
2026-07-14 07:54:52 | INFO | Epoch 018/100 | train 80.01% loss 0.9366 | val 75.00% loss 1.0436 | entropy 0.000 | 3.3s
2026-07-14 07:54:57 | INFO | Epoch 019/100 | train 82.09% loss 0.8716 | val 74.83% loss 1.0206 | entropy 0.000 | 3.4s
2026-07-14 07:55:01 | INFO | Epoch 020/100 | train 81.24% loss 0.8815 | val 75.17% loss 1.0066 | entropy 0.000 | 3.3s
2026-07-14 07:55:06 | INFO | Epoch 021/100 | train 82.67% loss 0.8326 | val 75.33% loss 0.9918 | entropy 0.000 | 3.4s
2026-07-14 07:55:10 | INFO | Epoch 022/100 | train 83.83% loss 0.8023 | val 76.33% loss 0.9692 | entropy 0.000 | 3.3s
2026-07-14 07:55:15 | INFO | Epoch 023/100 | train 83.09% loss 0.7944 | val 75.67% loss 0.9625 | entropy 0.000 | 3.3s
2026-07-14 07:55:19 | INFO | Epoch 024/100 | train 85.11% loss 0.7493 | val 76.50% loss 0.9506 | entropy 0.000 | 3.5s
2026-07-14 07:55:24 | INFO | Epoch 025/100 | train 84.85% loss 0.7449 | val 76.17% loss 0.9372 | entropy 0.000 | 3.3s
2026-07-14 07:55:28 | INFO | Epoch 026/100 | train 83.74% loss 0.7790 | val 74.50% loss 0.9304 | entropy 0.000 | 3.3s
2026-07-14 07:55:32 | INFO | Epoch 027/100 | train 85.76% loss 0.7170 | val 75.33% loss 0.9380 | entropy 0.000 | 3.2s
2026-07-14 07:55:37 | INFO | Epoch 028/100 | train 85.09% loss 0.7107 | val 75.83% loss 0.9265 | entropy 0.000 | 3.3s
2026-07-14 07:55:41 | INFO | Epoch 029/100 | train 85.35% loss 0.7122 | val 76.33% loss 0.9244 | entropy 0.000 | 3.4s
2026-07-14 07:55:46 | INFO | Epoch 030/100 | train 85.65% loss 0.6811 | val 77.17% loss 0.9206 | entropy 0.000 | 3.3s
2026-07-14 07:55:50 | INFO | Epoch 031/100 | train 85.84% loss 0.6704 | val 77.50% loss 0.9134 | entropy 0.000 | 3.4s
2026-07-14 07:55:55 | INFO | Epoch 032/100 | train 86.17% loss 0.6790 | val 78.00% loss 0.9112 | entropy 0.000 | 3.5s
2026-07-14 07:55:59 | INFO | Epoch 033/100 | train 87.17% loss 0.6283 | val 77.50% loss 0.9131 | entropy 0.000 | 3.4s
2026-07-14 07:56:04 | INFO | Epoch 034/100 | train 86.47% loss 0.6570 | val 75.17% loss 0.9044 | entropy 0.000 | 3.4s
2026-07-14 07:56:08 | INFO | Epoch 035/100 | train 87.00% loss 0.6178 | val 77.33% loss 0.8902 | entropy 0.000 | 3.4s
2026-07-14 07:56:13 | INFO | Epoch 036/100 | train 87.08% loss 0.6059 | val 77.00% loss 0.8961 | entropy 0.000 | 3.3s
2026-07-14 07:56:17 | INFO | Epoch 037/100 | train 88.02% loss 0.5982 | val 77.50% loss 0.8908 | entropy 0.000 | 3.4s
2026-07-14 07:56:22 | INFO | Epoch 038/100 | train 87.52% loss 0.6031 | val 76.00% loss 0.8940 | entropy 0.000 | 3.4s
2026-07-14 07:56:26 | INFO | Epoch 039/100 | train 88.23% loss 0.5949 | val 76.33% loss 0.8969 | entropy 0.000 | 3.4s
2026-07-14 07:56:31 | INFO | Epoch 040/100 | train 88.56% loss 0.5789 | val 76.83% loss 0.8972 | entropy 0.000 | 3.4s
2026-07-14 07:56:35 | INFO | Epoch 041/100 | train 88.75% loss 0.5611 | val 76.50% loss 0.8929 | entropy 0.000 | 3.5s
2026-07-14 07:56:39 | INFO | Epoch 042/100 | train 88.90% loss 0.5640 | val 77.00% loss 0.8912 | entropy 0.000 | 3.3s
2026-07-14 07:56:44 | INFO | Epoch 043/100 | train 88.47% loss 0.5803 | val 77.67% loss 0.8855 | entropy 0.000 | 3.4s
2026-07-14 07:56:48 | INFO | Epoch 044/100 | train 88.06% loss 0.5717 | val 76.50% loss 0.8823 | entropy 0.000 | 3.3s
2026-07-14 07:56:53 | INFO | Epoch 045/100 | train 88.56% loss 0.5613 | val 77.17% loss 0.8851 | entropy 0.000 | 3.3s
2026-07-14 07:56:57 | INFO | Epoch 046/100 | train 88.84% loss 0.5449 | val 77.33% loss 0.8810 | entropy 0.000 | 3.5s
2026-07-14 07:57:02 | INFO | Epoch 047/100 | train 89.30% loss 0.5347 | val 77.00% loss 0.8810 | entropy 0.000 | 3.3s
2026-07-14 07:57:06 | INFO | Epoch 048/100 | train 88.51% loss 0.5506 | val 76.67% loss 0.8818 | entropy 0.000 | 3.4s
2026-07-14 07:57:10 | INFO | Epoch 049/100 | train 88.91% loss 0.5559 | val 77.00% loss 0.8837 | entropy 0.000 | 3.3s
2026-07-14 07:57:15 | INFO | Epoch 050/100 | train 89.15% loss 0.5390 | val 77.00% loss 0.8796 | entropy 0.000 | 3.4s
2026-07-14 07:57:20 | INFO | Epoch 051/100 | train 89.30% loss 0.5350 | val 77.33% loss 0.8770 | entropy 0.000 | 3.5s
2026-07-14 07:57:24 | INFO | Epoch 052/100 | train 89.78% loss 0.5220 | val 77.50% loss 0.8748 | entropy 0.000 | 3.3s
2026-07-14 07:57:28 | INFO | Epoch 053/100 | train 89.64% loss 0.5276 | val 75.83% loss 0.8768 | entropy 0.000 | 3.3s
