2026-07-14 08:47:44 | INFO | Run directory: outputs/cub_200_2011/lora/seed_0
2026-07-14 08:47:44 | INFO | Method=lora dataset=cub_200_2011 seed=0 device=cuda
2026-07-14 08:47:44 | INFO | Dataset sizes: train=5394 val=600 test=5794
2026-07-14 08:47:44 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 08:47:47 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 08:47:47 | INFO | Trainable params: 0.4487M (0.5218% of ViT-B/16 86M)
2026-07-14 08:47:47 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 08:47:59 | INFO | Epoch 001/100 | train 1.56% loss 5.2108 | val 5.67% loss 5.0116 | entropy 0.000 | 10.1s
2026-07-14 08:48:09 | INFO | Epoch 002/100 | train 12.24% loss 4.6831 | val 24.67% loss 4.1505 | entropy 0.000 | 9.0s
2026-07-14 08:48:19 | INFO | Epoch 003/100 | train 30.20% loss 3.6828 | val 46.33% loss 3.0165 | entropy 0.000 | 8.9s
2026-07-14 08:48:30 | INFO | Epoch 004/100 | train 47.00% loss 2.7873 | val 58.17% loss 2.2359 | entropy 0.000 | 8.9s
2026-07-14 08:48:40 | INFO | Epoch 005/100 | train 57.79% loss 2.1654 | val 65.00% loss 1.7179 | entropy 0.000 | 9.0s
2026-07-14 08:48:50 | INFO | Epoch 006/100 | train 64.94% loss 1.7079 | val 71.17% loss 1.3509 | entropy 0.000 | 9.0s
2026-07-14 08:49:00 | INFO | Epoch 007/100 | train 69.50% loss 1.4372 | val 75.50% loss 1.1207 | entropy 0.000 | 9.2s
2026-07-14 08:49:11 | INFO | Epoch 008/100 | train 73.36% loss 1.2096 | val 78.67% loss 0.9488 | entropy 0.000 | 9.1s
2026-07-14 08:49:21 | INFO | Epoch 009/100 | train 76.08% loss 1.0613 | val 78.00% loss 0.8606 | entropy 0.000 | 8.8s
2026-07-14 08:49:30 | INFO | Epoch 010/100 | train 77.77% loss 0.9625 | val 77.17% loss 0.8345 | entropy 0.000 | 8.7s
2026-07-14 08:49:41 | INFO | Epoch 011/100 | train 80.05% loss 0.8477 | val 79.67% loss 0.7631 | entropy 0.000 | 9.0s
2026-07-14 08:49:51 | INFO | Epoch 012/100 | train 82.85% loss 0.7590 | val 78.67% loss 0.7551 | entropy 0.000 | 8.9s
