2026-07-14 09:56:25 | INFO | Run directory: outputs/oxford_flowers_102/full_finetune/seed_0
2026-07-14 09:56:25 | INFO | Method=full_finetune dataset=oxford_flowers_102 seed=0 device=cuda
2026-07-14 09:56:25 | INFO | Dataset sizes: train=1020 val=1020 test=6149
2026-07-14 09:56:25 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 09:56:26 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 09:56:26 | INFO | Trainable params: 85.8771M (99.8571% of ViT-B/16 86M)
2026-07-14 09:56:26 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 09:56:31 | INFO | Epoch 001/100 | train 2.25% loss 4.6773 | val 2.94% loss 4.6354 | entropy 0.000 | 3.1s
2026-07-14 09:56:35 | INFO | Epoch 002/100 | train 3.53% loss 4.5578 | val 4.90% loss 4.4984 | entropy 0.000 | 2.3s
2026-07-14 09:56:39 | INFO | Epoch 003/100 | train 7.75% loss 4.3793 | val 11.08% loss 4.2945 | entropy 0.000 | 2.3s
2026-07-14 09:56:43 | INFO | Epoch 004/100 | train 21.08% loss 4.1262 | val 27.16% loss 3.9957 | entropy 0.000 | 2.3s
2026-07-14 09:56:47 | INFO | Epoch 005/100 | train 44.41% loss 3.7214 | val 46.37% loss 3.5633 | entropy 0.000 | 2.3s
2026-07-14 09:56:51 | INFO | Epoch 006/100 | train 63.24% loss 3.2399 | val 64.12% loss 3.0763 | entropy 0.000 | 2.3s
2026-07-14 09:56:54 | INFO | Epoch 007/100 | train 74.61% loss 2.7311 | val 74.71% loss 2.5845 | entropy 0.000 | 2.3s
2026-07-14 09:56:58 | INFO | Epoch 008/100 | train 84.51% loss 2.2302 | val 79.31% loss 2.1631 | entropy 0.000 | 2.2s
2026-07-14 09:57:02 | INFO | Epoch 009/100 | train 89.71% loss 1.7905 | val 85.78% loss 1.7860 | entropy 0.000 | 2.3s
2026-07-14 09:57:06 | INFO | Epoch 010/100 | train 93.73% loss 1.4195 | val 89.12% loss 1.4966 | entropy 0.000 | 2.3s
2026-07-14 09:57:09 | INFO | Epoch 011/100 | train 95.00% loss 1.1156 | val 90.10% loss 1.2812 | entropy 0.000 | 2.2s
2026-07-14 09:57:13 | INFO | Epoch 012/100 | train 96.86% loss 0.8845 | val 91.67% loss 1.0883 | entropy 0.000 | 2.4s
2026-07-14 09:57:17 | INFO | Epoch 013/100 | train 96.67% loss 0.7515 | val 92.25% loss 0.9408 | entropy 0.000 | 2.3s
2026-07-14 09:57:21 | INFO | Epoch 014/100 | train 98.04% loss 0.5719 | val 94.12% loss 0.8327 | entropy 0.000 | 2.3s
2026-07-14 09:57:25 | INFO | Epoch 015/100 | train 98.04% loss 0.4762 | val 93.92% loss 0.7591 | entropy 0.000 | 2.3s
2026-07-14 09:57:28 | INFO | Epoch 016/100 | train 98.63% loss 0.3899 | val 94.12% loss 0.6813 | entropy 0.000 | 2.3s
2026-07-14 09:57:32 | INFO | Epoch 017/100 | train 98.24% loss 0.3547 | val 95.00% loss 0.6242 | entropy 0.000 | 2.4s
2026-07-14 09:57:36 | INFO | Epoch 018/100 | train 98.63% loss 0.2746 | val 95.49% loss 0.5689 | entropy 0.000 | 2.3s
2026-07-14 09:57:40 | INFO | Epoch 019/100 | train 98.53% loss 0.2540 | val 95.49% loss 0.5263 | entropy 0.000 | 2.4s
2026-07-14 09:57:44 | INFO | Epoch 020/100 | train 99.12% loss 0.2014 | val 95.20% loss 0.4897 | entropy 0.000 | 2.3s
2026-07-14 09:57:47 | INFO | Epoch 021/100 | train 99.12% loss 0.2022 | val 95.00% loss 0.4713 | entropy 0.000 | 2.2s
2026-07-14 09:57:51 | INFO | Epoch 022/100 | train 99.41% loss 0.1546 | val 95.49% loss 0.4303 | entropy 0.000 | 2.5s
2026-07-14 09:57:55 | INFO | Epoch 023/100 | train 98.92% loss 0.1494 | val 94.51% loss 0.4488 | entropy 0.000 | 2.3s
2026-07-14 09:57:59 | INFO | Epoch 024/100 | train 98.82% loss 0.1462 | val 95.00% loss 0.4173 | entropy 0.000 | 2.2s
2026-07-14 09:58:02 | INFO | Epoch 025/100 | train 98.73% loss 0.1594 | val 95.59% loss 0.3952 | entropy 0.000 | 2.4s
2026-07-14 09:58:06 | INFO | Epoch 026/100 | train 98.73% loss 0.1318 | val 95.78% loss 0.3719 | entropy 0.000 | 2.3s
2026-07-14 09:58:10 | INFO | Epoch 027/100 | train 98.82% loss 0.1366 | val 95.20% loss 0.3806 | entropy 0.000 | 2.2s
2026-07-14 09:58:14 | INFO | Epoch 028/100 | train 99.51% loss 0.0984 | val 95.20% loss 0.3814 | entropy 0.000 | 2.4s
2026-07-14 09:58:17 | INFO | Epoch 029/100 | train 99.31% loss 0.1065 | val 95.88% loss 0.3346 | entropy 0.000 | 2.3s
2026-07-14 09:58:21 | INFO | Epoch 030/100 | train 99.41% loss 0.0863 | val 94.71% loss 0.3635 | entropy 0.000 | 2.4s
2026-07-14 09:58:25 | INFO | Epoch 031/100 | train 99.31% loss 0.0856 | val 95.39% loss 0.3306 | entropy 0.000 | 2.3s
2026-07-14 09:58:29 | INFO | Epoch 032/100 | train 99.22% loss 0.0920 | val 95.29% loss 0.3491 | entropy 0.000 | 2.4s
2026-07-14 09:58:33 | INFO | Epoch 033/100 | train 99.61% loss 0.0935 | val 95.49% loss 0.3259 | entropy 0.000 | 2.4s
2026-07-14 09:58:36 | INFO | Epoch 034/100 | train 99.02% loss 0.0923 | val 94.51% loss 0.3289 | entropy 0.000 | 2.4s
2026-07-14 09:58:40 | INFO | Epoch 035/100 | train 99.02% loss 0.0771 | val 94.61% loss 0.3473 | entropy 0.000 | 2.4s
2026-07-14 09:58:44 | INFO | Epoch 036/100 | train 99.41% loss 0.0819 | val 95.29% loss 0.3149 | entropy 0.000 | 2.3s
2026-07-14 09:58:48 | INFO | Epoch 037/100 | train 99.51% loss 0.0678 | val 95.39% loss 0.3023 | entropy 0.000 | 2.4s
2026-07-14 09:58:51 | INFO | Epoch 038/100 | train 99.51% loss 0.0670 | val 94.80% loss 0.3079 | entropy 0.000 | 2.2s
2026-07-14 09:58:55 | INFO | Epoch 039/100 | train 99.31% loss 0.0720 | val 95.59% loss 0.2826 | entropy 0.000 | 2.3s
2026-07-14 09:58:59 | INFO | Epoch 040/100 | train 99.61% loss 0.0650 | val 95.00% loss 0.3147 | entropy 0.000 | 2.3s
2026-07-14 09:59:03 | INFO | Epoch 041/100 | train 99.02% loss 0.0795 | val 95.39% loss 0.2949 | entropy 0.000 | 2.3s
2026-07-14 09:59:06 | INFO | Epoch 042/100 | train 99.31% loss 0.0683 | val 95.20% loss 0.2924 | entropy 0.000 | 2.3s
2026-07-14 09:59:10 | INFO | Epoch 043/100 | train 99.31% loss 0.0662 | val 95.59% loss 0.2744 | entropy 0.000 | 2.3s
2026-07-14 09:59:14 | INFO | Epoch 044/100 | train 99.41% loss 0.0641 | val 95.20% loss 0.2939 | entropy 0.000 | 2.2s
2026-07-14 09:59:18 | INFO | Epoch 045/100 | train 99.51% loss 0.0610 | val 95.29% loss 0.2786 | entropy 0.000 | 2.4s
2026-07-14 09:59:21 | INFO | Epoch 046/100 | train 99.61% loss 0.0552 | val 95.10% loss 0.2907 | entropy 0.000 | 2.2s
2026-07-14 09:59:25 | INFO | Epoch 047/100 | train 99.31% loss 0.0502 | val 95.00% loss 0.2892 | entropy 0.000 | 2.2s
2026-07-14 09:59:28 | INFO | Epoch 048/100 | train 99.51% loss 0.0453 | val 95.39% loss 0.2723 | entropy 0.000 | 2.2s
2026-07-14 09:59:32 | INFO | Epoch 049/100 | train 99.41% loss 0.0522 | val 95.10% loss 0.2739 | entropy 0.000 | 2.3s
2026-07-14 09:59:36 | INFO | Epoch 050/100 | train 99.02% loss 0.0634 | val 95.59% loss 0.2715 | entropy 0.000 | 2.4s
2026-07-14 09:59:40 | INFO | Epoch 051/100 | train 99.12% loss 0.0616 | val 94.51% loss 0.2818 | entropy 0.000 | 2.4s
2026-07-14 09:59:43 | INFO | Epoch 052/100 | train 99.61% loss 0.0461 | val 95.59% loss 0.2564 | entropy 0.000 | 2.2s
