2026-07-14 10:14:51 | INFO | Run directory: outputs/oxford_flowers_102/lora/seed_0
2026-07-14 10:14:51 | INFO | Method=lora dataset=oxford_flowers_102 seed=0 device=cuda
2026-07-14 10:14:51 | INFO | Dataset sizes: train=1020 val=1020 test=6149
2026-07-14 10:14:51 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 10:14:52 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 10:14:52 | INFO | Trainable params: 0.3734M (0.4341% of ViT-B/16 86M)
2026-07-14 10:14:52 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 10:14:58 | INFO | Epoch 001/100 | train 2.16% loss 4.6715 | val 3.33% loss 4.6200 | entropy 0.000 | 3.0s
2026-07-14 10:15:02 | INFO | Epoch 002/100 | train 3.82% loss 4.5305 | val 5.88% loss 4.4477 | entropy 0.000 | 2.3s
2026-07-14 10:15:06 | INFO | Epoch 003/100 | train 8.73% loss 4.3169 | val 14.80% loss 4.1972 | entropy 0.000 | 2.3s
2026-07-14 10:15:10 | INFO | Epoch 004/100 | train 24.90% loss 4.0201 | val 30.78% loss 3.8372 | entropy 0.000 | 2.2s
2026-07-14 10:15:14 | INFO | Epoch 005/100 | train 46.18% loss 3.5585 | val 49.61% loss 3.3322 | entropy 0.000 | 2.2s
2026-07-14 10:15:18 | INFO | Epoch 006/100 | train 62.94% loss 2.9775 | val 65.59% loss 2.7151 | entropy 0.000 | 2.2s
2026-07-14 10:15:21 | INFO | Epoch 007/100 | train 74.41% loss 2.3380 | val 72.25% loss 2.1102 | entropy 0.000 | 2.3s
2026-07-14 10:15:25 | INFO | Epoch 008/100 | train 80.88% loss 1.7561 | val 78.63% loss 1.5871 | entropy 0.000 | 2.2s
2026-07-14 10:15:29 | INFO | Epoch 009/100 | train 88.53% loss 1.2537 | val 84.90% loss 1.1783 | entropy 0.000 | 2.2s
2026-07-14 10:15:33 | INFO | Epoch 010/100 | train 91.96% loss 0.8593 | val 89.61% loss 0.8784 | entropy 0.000 | 2.2s
2026-07-14 10:15:37 | INFO | Epoch 011/100 | train 95.00% loss 0.5926 | val 91.57% loss 0.6738 | entropy 0.000 | 2.2s
2026-07-14 10:15:41 | INFO | Epoch 012/100 | train 95.78% loss 0.4244 | val 90.98% loss 0.5704 | entropy 0.000 | 2.2s
2026-07-14 10:15:44 | INFO | Epoch 013/100 | train 96.08% loss 0.3430 | val 92.84% loss 0.4686 | entropy 0.000 | 2.2s
2026-07-14 10:15:48 | INFO | Epoch 014/100 | train 97.45% loss 0.2417 | val 92.75% loss 0.4311 | entropy 0.000 | 2.3s
2026-07-14 10:15:52 | INFO | Epoch 015/100 | train 97.16% loss 0.2164 | val 92.94% loss 0.3954 | entropy 0.000 | 2.3s
2026-07-14 10:15:56 | INFO | Epoch 016/100 | train 98.33% loss 0.1746 | val 93.53% loss 0.3758 | entropy 0.000 | 2.3s
2026-07-14 10:16:00 | INFO | Epoch 017/100 | train 97.84% loss 0.1694 | val 93.73% loss 0.3502 | entropy 0.000 | 2.2s
2026-07-14 10:16:04 | INFO | Epoch 018/100 | train 98.43% loss 0.1430 | val 92.16% loss 0.3570 | entropy 0.000 | 2.1s
