2026-07-14 10:21:25 | INFO | Run directory: outputs/oxford_flowers_102/vpt/seed_0
2026-07-14 10:21:25 | INFO | Method=vpt dataset=oxford_flowers_102 seed=0 device=cuda
2026-07-14 10:21:25 | INFO | Dataset sizes: train=1020 val=1020 test=6149
2026-07-14 10:21:25 | INFO | Loader/perf: batch_size=128 workers=12 pin_memory=True persistent_workers=True prefetch_factor=4 tf32=True matmul_precision=high benchmark=True deterministic=False
2026-07-14 10:21:26 | INFO | ViT init weights: torchvision ViT_B_16_Weights.IMAGENET1K_V1
2026-07-14 10:21:26 | INFO | Trainable params: 0.0846M (0.0984% of ViT-B/16 86M)
2026-07-14 10:21:26 | INFO | AMP: enabled=True dtype=torch.float16
2026-07-14 10:21:31 | INFO | Epoch 001/100 | train 3.53% loss 4.5807 | val 9.71% loss 4.3249 | entropy 0.000 | 2.9s
2026-07-14 10:21:34 | INFO | Epoch 002/100 | train 22.25% loss 4.0150 | val 37.35% loss 3.6562 | entropy 0.000 | 2.0s
2026-07-14 10:21:38 | INFO | Epoch 003/100 | train 52.25% loss 3.2605 | val 59.02% loss 2.8526 | entropy 0.000 | 2.0s
2026-07-14 10:21:42 | INFO | Epoch 004/100 | train 70.69% loss 2.4072 | val 69.41% loss 2.0765 | entropy 0.000 | 2.0s
2026-07-14 10:21:45 | INFO | Epoch 005/100 | train 81.57% loss 1.6253 | val 77.65% loss 1.4988 | entropy 0.000 | 2.0s
2026-07-14 10:21:48 | INFO | Epoch 006/100 | train 86.18% loss 1.0636 | val 79.31% loss 1.1229 | entropy 0.000 | 1.9s
2026-07-14 10:21:52 | INFO | Epoch 007/100 | train 89.22% loss 0.7482 | val 82.45% loss 0.8909 | entropy 0.000 | 2.0s
2026-07-14 10:21:55 | INFO | Epoch 008/100 | train 92.25% loss 0.5434 | val 83.73% loss 0.7516 | entropy 0.000 | 2.0s
2026-07-14 10:21:59 | INFO | Epoch 009/100 | train 93.73% loss 0.3977 | val 85.88% loss 0.6642 | entropy 0.000 | 1.9s
2026-07-14 10:22:02 | INFO | Epoch 010/100 | train 95.49% loss 0.3102 | val 86.57% loss 0.5957 | entropy 0.000 | 1.9s
2026-07-14 10:22:06 | INFO | Epoch 011/100 | train 96.67% loss 0.2310 | val 86.76% loss 0.5623 | entropy 0.000 | 2.0s
2026-07-14 10:22:09 | INFO | Epoch 012/100 | train 96.86% loss 0.2242 | val 87.75% loss 0.5318 | entropy 0.000 | 1.9s
2026-07-14 10:22:12 | INFO | Epoch 013/100 | train 96.57% loss 0.2108 | val 88.53% loss 0.5149 | entropy 0.000 | 1.9s
2026-07-14 10:22:16 | INFO | Epoch 014/100 | train 98.43% loss 0.1341 | val 87.65% loss 0.4943 | entropy 0.000 | 2.0s
2026-07-14 10:22:19 | INFO | Epoch 015/100 | train 97.45% loss 0.1620 | val 87.94% loss 0.4888 | entropy 0.000 | 2.0s
2026-07-14 10:22:23 | INFO | Epoch 016/100 | train 97.94% loss 0.1322 | val 88.43% loss 0.4856 | entropy 0.000 | 2.0s
2026-07-14 10:22:26 | INFO | Epoch 017/100 | train 97.65% loss 0.1453 | val 88.43% loss 0.4679 | entropy 0.000 | 1.9s
2026-07-14 10:22:29 | INFO | Epoch 018/100 | train 98.24% loss 0.1284 | val 88.14% loss 0.4645 | entropy 0.000 | 1.9s
2026-07-14 10:22:33 | INFO | Epoch 019/100 | train 97.55% loss 0.1282 | val 88.33% loss 0.4732 | entropy 0.000 | 1.9s
2026-07-14 10:22:36 | INFO | Epoch 020/100 | train 98.43% loss 0.1047 | val 88.73% loss 0.4514 | entropy 0.000 | 1.9s
2026-07-14 10:22:39 | INFO | Epoch 021/100 | train 97.84% loss 0.1146 | val 89.41% loss 0.4392 | entropy 0.000 | 1.9s
2026-07-14 10:22:43 | INFO | Epoch 022/100 | train 98.04% loss 0.0995 | val 88.24% loss 0.4435 | entropy 0.000 | 2.0s
2026-07-14 10:22:46 | INFO | Epoch 023/100 | train 98.43% loss 0.0971 | val 87.75% loss 0.4655 | entropy 0.000 | 1.9s
2026-07-14 10:22:49 | INFO | Epoch 024/100 | train 98.33% loss 0.0987 | val 87.84% loss 0.4587 | entropy 0.000 | 1.9s
2026-07-14 10:22:53 | INFO | Epoch 025/100 | train 97.45% loss 0.1268 | val 90.00% loss 0.4267 | entropy 0.000 | 2.0s
2026-07-14 10:22:56 | INFO | Epoch 026/100 | train 97.65% loss 0.1111 | val 89.41% loss 0.4322 | entropy 0.000 | 2.0s
2026-07-14 10:23:00 | INFO | Epoch 027/100 | train 97.75% loss 0.1076 | val 88.92% loss 0.4280 | entropy 0.000 | 1.9s
2026-07-14 10:23:03 | INFO | Epoch 028/100 | train 98.24% loss 0.0859 | val 88.92% loss 0.4470 | entropy 0.000 | 2.0s
2026-07-14 10:23:06 | INFO | Epoch 029/100 | train 97.75% loss 0.1061 | val 88.14% loss 0.4449 | entropy 0.000 | 2.0s
2026-07-14 10:23:10 | INFO | Epoch 030/100 | train 98.92% loss 0.0707 | val 89.12% loss 0.4326 | entropy 0.000 | 1.9s
2026-07-14 10:23:13 | INFO | Epoch 031/100 | train 99.02% loss 0.0648 | val 89.31% loss 0.4191 | entropy 0.000 | 1.9s
2026-07-14 10:23:17 | INFO | Epoch 032/100 | train 98.04% loss 0.0804 | val 89.41% loss 0.4208 | entropy 0.000 | 1.9s
2026-07-14 10:23:20 | INFO | Epoch 033/100 | train 98.82% loss 0.0800 | val 89.22% loss 0.4210 | entropy 0.000 | 1.9s
2026-07-14 10:23:23 | INFO | Epoch 034/100 | train 98.63% loss 0.0720 | val 89.12% loss 0.4251 | entropy 0.000 | 2.0s
2026-07-14 10:23:27 | INFO | Epoch 035/100 | train 98.82% loss 0.0685 | val 89.12% loss 0.4275 | entropy 0.000 | 2.0s
2026-07-14 10:23:30 | INFO | Epoch 036/100 | train 98.92% loss 0.0585 | val 88.82% loss 0.4099 | entropy 0.000 | 2.0s
2026-07-14 10:23:33 | INFO | Epoch 037/100 | train 98.04% loss 0.0660 | val 88.63% loss 0.4142 | entropy 0.000 | 1.9s
2026-07-14 10:23:37 | INFO | Epoch 038/100 | train 98.92% loss 0.0756 | val 89.02% loss 0.4102 | entropy 0.000 | 1.9s
2026-07-14 10:23:40 | INFO | Epoch 039/100 | train 98.33% loss 0.0840 | val 89.90% loss 0.3918 | entropy 0.000 | 1.9s
2026-07-14 10:23:43 | INFO | Epoch 040/100 | train 98.73% loss 0.0720 | val 89.90% loss 0.4044 | entropy 0.000 | 1.9s
2026-07-14 10:23:47 | INFO | Epoch 041/100 | train 98.53% loss 0.0836 | val 89.71% loss 0.4058 | entropy 0.000 | 1.9s
2026-07-14 10:23:50 | INFO | Epoch 042/100 | train 98.73% loss 0.0754 | val 89.22% loss 0.4023 | entropy 0.000 | 1.9s
2026-07-14 10:23:54 | INFO | Epoch 043/100 | train 99.31% loss 0.0509 | val 89.71% loss 0.4036 | entropy 0.000 | 2.0s
2026-07-14 10:23:57 | INFO | Epoch 044/100 | train 98.53% loss 0.0724 | val 89.02% loss 0.4053 | entropy 0.000 | 1.9s
2026-07-14 10:24:00 | INFO | Epoch 045/100 | train 98.33% loss 0.0678 | val 89.51% loss 0.3988 | entropy 0.000 | 2.0s
2026-07-14 10:24:04 | INFO | Epoch 046/100 | train 99.22% loss 0.0552 | val 90.10% loss 0.3967 | entropy 0.000 | 1.9s
2026-07-14 10:24:07 | INFO | Epoch 047/100 | train 98.92% loss 0.0564 | val 89.41% loss 0.3982 | entropy 0.000 | 1.9s
2026-07-14 10:24:10 | INFO | Epoch 048/100 | train 98.63% loss 0.0580 | val 89.51% loss 0.3899 | entropy 0.000 | 1.9s
2026-07-14 10:24:14 | INFO | Epoch 049/100 | train 99.02% loss 0.0592 | val 89.71% loss 0.3949 | entropy 0.000 | 1.9s
2026-07-14 10:24:17 | INFO | Epoch 050/100 | train 98.53% loss 0.0634 | val 89.90% loss 0.3998 | entropy 0.000 | 2.0s
2026-07-14 10:24:21 | INFO | Epoch 051/100 | train 98.43% loss 0.0733 | val 89.51% loss 0.4007 | entropy 0.000 | 2.0s
2026-07-14 10:24:24 | INFO | Epoch 052/100 | train 99.31% loss 0.0495 | val 89.31% loss 0.3943 | entropy 0.000 | 1.9s
2026-07-14 10:24:27 | INFO | Epoch 053/100 | train 99.12% loss 0.0437 | val 89.71% loss 0.3838 | entropy 0.000 | 2.0s
2026-07-14 10:24:31 | INFO | Epoch 054/100 | train 98.82% loss 0.0631 | val 90.39% loss 0.3779 | entropy 0.000 | 1.9s
2026-07-14 10:24:34 | INFO | Epoch 055/100 | train 98.82% loss 0.0566 | val 90.49% loss 0.3754 | entropy 0.000 | 2.0s
2026-07-14 10:24:38 | INFO | Epoch 056/100 | train 99.41% loss 0.0354 | val 90.49% loss 0.3802 | entropy 0.000 | 2.0s
2026-07-14 10:24:41 | INFO | Epoch 057/100 | train 99.31% loss 0.0350 | val 90.59% loss 0.3782 | entropy 0.000 | 1.9s
2026-07-14 10:24:44 | INFO | Epoch 058/100 | train 98.43% loss 0.0644 | val 91.18% loss 0.3716 | entropy 0.000 | 2.0s
2026-07-14 10:24:48 | INFO | Epoch 059/100 | train 99.22% loss 0.0426 | val 90.78% loss 0.3749 | entropy 0.000 | 2.0s
2026-07-14 10:24:51 | INFO | Epoch 060/100 | train 98.92% loss 0.0501 | val 91.18% loss 0.3729 | entropy 0.000 | 1.9s
2026-07-14 10:24:54 | INFO | Epoch 061/100 | train 99.51% loss 0.0392 | val 91.18% loss 0.3727 | entropy 0.000 | 2.0s
2026-07-14 10:24:58 | INFO | Epoch 062/100 | train 99.02% loss 0.0445 | val 90.88% loss 0.3674 | entropy 0.000 | 2.0s
2026-07-14 10:25:01 | INFO | Epoch 063/100 | train 99.31% loss 0.0378 | val 90.49% loss 0.3667 | entropy 0.000 | 1.8s
2026-07-14 10:25:04 | INFO | Epoch 064/100 | train 98.92% loss 0.0485 | val 90.39% loss 0.3682 | entropy 0.000 | 1.9s
2026-07-14 10:25:08 | INFO | Epoch 065/100 | train 98.92% loss 0.0455 | val 90.39% loss 0.3660 | entropy 0.000 | 1.9s
2026-07-14 10:25:11 | INFO | Epoch 066/100 | train 99.51% loss 0.0406 | val 90.20% loss 0.3633 | entropy 0.000 | 2.0s
2026-07-14 10:25:14 | INFO | Epoch 067/100 | train 98.63% loss 0.0509 | val 90.39% loss 0.3609 | entropy 0.000 | 1.9s
2026-07-14 10:25:18 | INFO | Epoch 068/100 | train 98.73% loss 0.0511 | val 90.49% loss 0.3643 | entropy 0.000 | 1.9s
2026-07-14 10:25:21 | INFO | Epoch 069/100 | train 99.31% loss 0.0546 | val 90.78% loss 0.3651 | entropy 0.000 | 2.0s
2026-07-14 10:25:24 | INFO | Epoch 070/100 | train 99.41% loss 0.0398 | val 90.39% loss 0.3639 | entropy 0.000 | 2.0s
2026-07-14 10:25:28 | INFO | Epoch 071/100 | train 99.41% loss 0.0299 | val 90.49% loss 0.3603 | entropy 0.000 | 1.9s
2026-07-14 10:25:31 | INFO | Epoch 072/100 | train 99.12% loss 0.0435 | val 90.59% loss 0.3584 | entropy 0.000 | 1.9s
2026-07-14 10:25:34 | INFO | Epoch 073/100 | train 99.71% loss 0.0241 | val 90.98% loss 0.3572 | entropy 0.000 | 2.0s
2026-07-14 10:25:38 | INFO | Epoch 074/100 | train 99.41% loss 0.0327 | val 90.98% loss 0.3553 | entropy 0.000 | 2.0s
2026-07-14 10:25:41 | INFO | Epoch 075/100 | train 99.31% loss 0.0437 | val 90.98% loss 0.3545 | entropy 0.000 | 2.0s
2026-07-14 10:25:45 | INFO | Epoch 076/100 | train 99.31% loss 0.0416 | val 90.69% loss 0.3544 | entropy 0.000 | 1.9s
2026-07-14 10:25:48 | INFO | Epoch 077/100 | train 99.22% loss 0.0439 | val 90.78% loss 0.3560 | entropy 0.000 | 1.9s
2026-07-14 10:25:51 | INFO | Epoch 078/100 | train 99.22% loss 0.0443 | val 90.59% loss 0.3574 | entropy 0.000 | 2.0s
2026-07-14 10:25:55 | INFO | Epoch 079/100 | train 98.82% loss 0.0512 | val 90.78% loss 0.3572 | entropy 0.000 | 2.0s
