2026-07-13 20:28:28 | INFO | Run directory: outputs/vtab1k_cifar100/linear_probe/seed_0
2026-07-13 20:28:28 | INFO | Method=linear_probe dataset=vtab1k_cifar100 seed=0 device=cuda
2026-07-13 20:28:30 | INFO | Dataset sizes: train=1000 val=1000 test=10000
2026-07-13 20:28:31 | INFO | Trainable params: 0.0769M (0.0894% of ViT-B/16 86M)
2026-07-13 20:28:34 | INFO | Epoch 001/100 | train 1.20% loss 4.7036 | val 0.80% loss 4.6744 | entropy 0.000 | 1.3s
2026-07-13 20:28:37 | INFO | Epoch 002/100 | train 1.40% loss 4.6149 | val 2.40% loss 4.5604 | entropy 0.000 | 1.3s
2026-07-13 20:28:39 | INFO | Epoch 003/100 | train 2.80% loss 4.4641 | val 4.90% loss 4.3970 | entropy 0.000 | 1.3s
2026-07-13 20:28:42 | INFO | Epoch 004/100 | train 9.50% loss 4.2711 | val 12.50% loss 4.1847 | entropy 0.000 | 1.3s
2026-07-13 20:28:45 | INFO | Epoch 005/100 | train 21.10% loss 4.0429 | val 23.10% loss 3.9338 | entropy 0.000 | 1.4s
2026-07-13 20:28:48 | INFO | Epoch 006/100 | train 33.70% loss 3.7824 | val 37.70% loss 3.6534 | entropy 0.000 | 1.3s
2026-07-13 20:28:50 | INFO | Epoch 007/100 | train 44.40% loss 3.4973 | val 46.20% loss 3.3533 | entropy 0.000 | 1.3s
2026-07-13 20:28:53 | INFO | Epoch 008/100 | train 52.60% loss 3.1694 | val 52.70% loss 3.0378 | entropy 0.000 | 1.3s
2026-07-13 20:28:56 | INFO | Epoch 009/100 | train 59.90% loss 2.8221 | val 56.40% loss 2.7157 | entropy 0.000 | 1.4s
2026-07-13 20:28:59 | INFO | Epoch 010/100 | train 63.80% loss 2.5020 | val 60.60% loss 2.4111 | entropy 0.000 | 1.4s
2026-07-13 20:29:02 | INFO | Epoch 011/100 | train 67.70% loss 2.1780 | val 63.20% loss 2.1653 | entropy 0.000 | 1.4s
