2026-07-13 20:45:40 | INFO | Run directory: outputs/vtab1k_cifar100/ssf/seed_0
2026-07-13 20:45:40 | INFO | Method=ssf dataset=vtab1k_cifar100 seed=0 device=cuda
2026-07-13 20:45:43 | INFO | Dataset sizes: train=1000 val=1000 test=10000
2026-07-13 20:45:44 | INFO | Trainable params: 0.1138M (0.1323% of ViT-B/16 86M)
2026-07-13 20:45:47 | INFO | Epoch 001/100 | train 1.30% loss 4.7035 | val 0.80% loss 4.6718 | entropy 0.000 | 2.1s
2026-07-13 20:45:51 | INFO | Epoch 002/100 | train 1.30% loss 4.6100 | val 2.40% loss 4.5527 | entropy 0.000 | 2.0s
2026-07-13 20:45:54 | INFO | Epoch 003/100 | train 3.00% loss 4.4526 | val 5.10% loss 4.3818 | entropy 0.000 | 2.1s
2026-07-13 20:45:58 | INFO | Epoch 004/100 | train 10.90% loss 4.2487 | val 13.50% loss 4.1552 | entropy 0.000 | 2.1s
2026-07-13 20:46:02 | INFO | Epoch 005/100 | train 22.40% loss 4.0033 | val 25.90% loss 3.8771 | entropy 0.000 | 2.1s
2026-07-13 20:46:05 | INFO | Epoch 006/100 | train 36.10% loss 3.7013 | val 38.90% loss 3.5499 | entropy 0.000 | 2.1s
2026-07-13 20:46:09 | INFO | Epoch 007/100 | train 45.70% loss 3.3608 | val 48.00% loss 3.1824 | entropy 0.000 | 2.1s
2026-07-13 20:46:12 | INFO | Epoch 008/100 | train 56.00% loss 2.9535 | val 53.70% loss 2.7826 | entropy 0.000 | 2.1s
2026-07-13 20:46:16 | INFO | Epoch 009/100 | train 61.70% loss 2.5292 | val 61.80% loss 2.3719 | entropy 0.000 | 2.0s
2026-07-13 20:46:19 | INFO | Epoch 010/100 | train 66.60% loss 2.1241 | val 65.00% loss 2.0081 | entropy 0.000 | 2.0s
2026-07-13 20:46:23 | INFO | Epoch 011/100 | train 71.00% loss 1.7694 | val 67.70% loss 1.7338 | entropy 0.000 | 2.2s
2026-07-13 20:46:26 | INFO | Epoch 012/100 | train 73.70% loss 1.5780 | val 69.60% loss 1.5309 | entropy 0.000 | 2.1s
2026-07-13 20:46:30 | INFO | Epoch 013/100 | train 74.80% loss 1.4152 | val 70.90% loss 1.3799 | entropy 0.000 | 2.1s
2026-07-13 20:46:34 | INFO | Epoch 014/100 | train 78.30% loss 1.1775 | val 71.70% loss 1.2873 | entropy 0.000 | 2.1s
2026-07-13 20:46:37 | INFO | Epoch 015/100 | train 78.60% loss 1.1253 | val 72.10% loss 1.2098 | entropy 0.000 | 2.0s
2026-07-13 20:46:41 | INFO | Epoch 016/100 | train 78.30% loss 1.0605 | val 72.20% loss 1.1481 | entropy 0.000 | 2.2s
2026-07-13 20:46:45 | INFO | Epoch 017/100 | train 77.50% loss 1.0403 | val 73.50% loss 1.1022 | entropy 0.000 | 2.3s
2026-07-13 20:46:49 | INFO | Epoch 018/100 | train 80.10% loss 0.9389 | val 73.90% loss 1.0722 | entropy 0.000 | 2.3s
